Titel,Kapitel,Unterkapitel,Schlagworte,Laufzeit,Beschreibung,vimeo,youtube - deutsch,youtube - english
Die vielfältige Nomenklatur der charakteristischen Röntgenstrahlung,2,6,none,08:19,"Die Nomenklatur der Röntgenstrahlung ist historisch bedingt einigermaßen vielfältig, und die verbreitete davon nicht mal konsistent. Glücklicherweise ist jedoch keine davon wirklich schwierig, und man kann sich das Prinzip der verschiedenen Nomenklaturen recht schnell und einfach merken.",https://vimeo.com/545137383,https://youtu.be/e9eg4PMDiXQ,
Wirkungsquerschnitt der Anregung & Überspannung,2,7,none,05:25,"Zum Abschluss müssen wir uns noch anschauen, wann überhaupt Elektronen aus den unteren Schalen heraus geschlagen werden können. Denn für eine signifikante Ausbeute muss die Energie des einfallenden Elektrons deutlich über der Elektronen-Bindungsenergie liegen.",https://vimeo.com/545529890,https://youtu.be/HkT8o_6RAmo,
Bremsstrahlung & Bremsberg,2,8,none,07:50,"Bei der Interaktion von Elektronen mit Materie entsteht natürlich noch sehr viel mehr als nur charakteristische Röntgenstrahlung. Eine eher störende Erscheinung ist die Bremsstrahlung, bzw. der Bremsberg. Denn diese kontinuierliche Röntgenstrahlung addiert sich zur charakteristischen Röntgenstrahlung, d.h., diese Bremsstrahlung muss vom eigentlichen Peak der charakteristischen Röntgenstrahlung abgezogen werden, wenn ein Element quantitativ bestimmt wird.",https://vimeo.com/545374765,https://youtu.be/4_SAM9XpQmY,
Absorption & Absorptionskanten,2,9,none,04:40,"Elektronen, aber auch Röntgenstrahlung selbst durchdringt ein Material nicht ungehindert, sondern wird von diesem absorbiert – und zwar abhängig von der Energie der Elektronen, bzw. Röntgenstrahlung. In dieser an sich kontinuierlichen Korrelation begegnen wir jedoch scharfen Diskontinuitäten – den Absorptionskanten – die von einem nun sehr bekannten Phänomen verursacht werden.",https://vimeo.com/545376642,https://youtu.be/JfQLIbNNZTs,
"Rückstreu-, Sekundär-, Auger-Elektronen – und die Anregungsbirne",2,10,none,07:57,"Gibt es wirklich unterschiedliche Elektronen? Nein, natürlich nicht – aber verschiedene Prozesse, welche Elektronen aus verschiedenen Bereichen und mit verschiedenen Elektronen aus der Probe zurück nach außen befördern. Dort können diese mit unterschiedlichen Detektoren gezählt werden. Ein Rückstreu-Elektron ist also kein irgendwie spezielles Elektron, sondern ein Elektron aus einem bestimmten Prozess.",https://vimeo.com/545595723,https://youtu.be/wUB4FJLhU-k,
Anregungsbirne & Monte Carlo Casino Simulation,2,11,none,08:13,"Die Interaktion von Elektronen mit Materie lässt sich sehr gut simulieren. Dabei wird sehr gut visualisiert aus welchen Bereichen die Rückstreu-Elektronen kommen um BSE-Bilder zu erzeugen, oder aus welcher Tiefe noch Atome zur Aussendung charakteristische Röntgenstrahlung angeregt werden.",https://vimeo.com/545430511,https://youtu.be/IpV34IMIiNs,
Rückstreu-Elektronen Bilder (Back-Scatter Electron – BSE images),3,1,none,05:46,"Die beiden primären, bildgebenden Verfahren sind BSE- und SE-Bilder. Dazu gibt es noch spezi-elle Kombinationsmodi, bei denen diese Detektoren speziell verwendet werden. Mit die häufigs-ten Bilder gerade in petrologischen Arbeiten sind BSE-Bilder, da die Phasen eines Gesteins sehr gut und detailliert darauf zu erkennen sind. Ebensogut erkennbar sind z.B. Risse und damit das Gefüge eines Gesteins.",https://vimeo.com/545645249,https://youtu.be/vzX03obNpJs,
Sekundär-Elektronen Bilder (Secondary Electron – SE images),3,2,none,06:17,"SE-Bilder verwenden die nieder-energetischen sekundär Elektronen von bis zu etwa 50 eV. Die Informationstiefe beträgt nur weniger zehner nm, sodass die Oberfläche der Probe abgebildet wird. Diese kann daher sehr gut und plastisch 3-dimensional betrachtet werden.",https://vimeo.com/548735082,https://youtu.be/vjoSMyoNAuI,
Kathodolumineszenz Bilder (Cathodo-Luminescence – CL images),3,3,none,02:44,"CL-Bilder werden mit Photonen im optischen – inkl. IR und UV – Bereich aufgenommen, die ebenfalls von Elektronenübergängen ausgesandt werden. Jedoch sind diese entsprechend nieder-energetisch und entstehen durch Umweganregung von Elektronen in denn äußersten Schalen des Atoms. Mit CL können oftmals sehr gut Zonierungen in Schwermineralen sichtbar gemacht werden.",https://vimeo.com/548740743,https://youtu.be/ulQI26FkPko,
Energie-Dispersive Analytik (EDS/EDX),4,1,none,14:15,"Die EDS ist sehr geeignet für eine schnelle, qualitative Analyse, da das gesamte Spektrum abgebildet wird und erste Peaks in Sekunden auftauchen. Die Auflösung ist jedoch vergleichsweise schlecht. Es ist auch eine semi-quantitative Standardisierung möglich, die häufig bei SEMs eingesetzt wird. Eine vollständige Standardisierung ist nur in Ausnahmefällen sinnvoll, z.B. wenn nur ein SEM mit EDS zur Verfügung steht. Es sind weiter z.B. Element-Maps möglich.",https://vimeo.com/548757967,https://youtu.be/7JhxLbVz0QU,
WDS-Analytik: Selektion einer Wellenlänge mit Hilfe der Bragg-Bedingungen (Bragg-Gleichung),4,2,none,17:13,Bei WDS-Analysen wollen wir nur die Wellenlänge des Röntgenquants eines Elements messen. Diese können wir mit Hilfe von Analysator-Kristallen und der Bragg-Bedingung selektieren und in den Detektor lenken. Es müssen womöglich Röntgenlinien höherer Ordnung beachtet werden.,https://vimeo.com/548865405,https://youtu.be/oUsGeugHi44,
WDS-Analytik: Erfüllung der Bragg-Bedingung mit Hilfe des Rowland-Kreises,4,3,none,14:17,"Die Bragg-Bedingung ist nur in einem Punkt erfüllt. Das würde zu sehr geringen Zählraten führen. Mit gebogenen Kristallen und etwas Geometrie wird es möglich die gesamte Fläche eines Analysator-Kristalls für die Bragg-Beugung, bzw. die Selektion einer gewünschten Röntgenlinie auszunutzen.",https://vimeo.com/548908869,https://youtu.be/o7ntmOPUfY8,
WDS-Analytik: Wahl des Analysator-Kristalls,4,4,none,04:09,"Die Bragg-Bedingung wird erfüllt wenn der Einfallswinkel θ sowie der Gitterebenenabstand d stimmen. Tatsächlich reicht nicht ein Kristall mit einem Gitterebenenabstand d aus, um alle gewünschten Wellenlängen zur Beugung zu bringen – oder die Rowlandkreise müssten größer werden, was einen Verlust an Intensität bedeuten würde. Daher werden verschiedene Kristalle mit unterschiedlichen d-Abständen verwendet.",,https://youtu.be/414bm_EKzWs,
WDS-Analytik: Zählung der Röntgenquanten mit Gas(durchfluss)zählern,4,5,none,07:48,"Nachdem die gewünschte Wellenlänge des zu analysierenden Elements selektiert wurde, können die Röntgenquanten nun gezählt werden. In der Regel kommt dafür ein Gasdurchflusszähler mit einem Gemisch aus 90% Ar und 10% Methan, oder eine geschlossener Xe-Gaszähler zum Einsatz.",https://vimeo.com/549680579,https://youtu.be/xfbL-hmGc_U,
"WDS-Analytik: Peaks, Peaks, Peaks: Satelliten-, höhere Ordnung, Escape-, & Summen-Peaks",4,6,none,18:28,"Der Zähler des Detektors zählt noch insgesamt die Energie von 4 weiteren Prozessen. (i) Die Satelliten-Linien sind den charakteristischen Röntgenstrahlen sehr verwandt, und hängen mit der Probe selbst zusammen. (ii) Peaks höherer Ordnung entstehen, da Röntgenquanten mit der 1/n-Wellenlänge (n: 1, 2, 3 , …) ebenfalls die Bragg-Bedingung erfüllen, wie die gewünschte, zu selektierende Wellenlänge. Diese hängt also mit dem Analysator-Kristall zusammen. (iii) Im Zähler selbst kann Argon angeregt werden, und Röntgenstrahlung aussenden. Entweicht diese aus dem Detektor, fehlt etwas Energie vom zu zählenden Röntgenquant, und es entsteht im Zähler ein zusätzlicher, so genannter Escape-Peak, der diesen geringeren Energie-Impuls abbildet. (iv) Schließlich können zwei gleichzeitig ankommende Peaks als eine Peak mit der dann doppelten Energie gezählt werden. Diese heißen Summen- oder Pile-up Peaks.  Die Peaks (iii) und (iv) hängen also mit dem Detektor selbst zusammen.",https://vimeo.com/549812340,https://youtu.be/v0K4w55DbBs,
"WDS-Analytik: Zählung der richtigen Impulse (HV, PHA, PHD & SCA)",4,7,none,20:48,"Dem Zählrohr ist eine Zählelektronik nachgeschaltet. Deren wichtigste Funktion ist es, die zusätzlich entstehenden und an sich unerwünschten Röntgenquanten herauszufiltern. Das Konzept hinter dieser Pulshöhen-Analyse (PHA) ist zunächst ein wenig trickreich, jedoch äußerst hilfreich. Die PHA erlaubt zwei Mess-Modi: (i) integral – dabei wird nichts gefiltert, und (ii) differential – nun wird mit Hilfe eines single channel analysers (SCA) gefiltert. Außerdem kann mit der Zählelektronik die Zählrate (Counts per second – cps) optimiert werden,. Dafür wird die Hochspannung (HV) über einen verstellbaren Verstärker (Gain) auf 1700±20 V justiert.",https://vimeo.com/549804218,https://youtu.be/C_G4-rz0NJo,
WDS-Analytik: Elektronen-Kanone (Electron Gun) & Elektronen-Optik (EOS),4,8,none,09:17,"Nachdem wir nun fast die gesamte Mikrosonde (und damit auch das SEM) und deren Funktionsweise kennen gelernt haben, schauen wir uns zum Abschluss noch prinzipiell an, wie die Elektronen überhaupt auf die Proben beschleunigt, fokussiert und bei Bedarf darüber gerastert werden.",https://vimeo.com/553411118,https://youtu.be/zKXktxPP9IA,
"WDS-Analytik: Messbedingungen: Beschleunigungsspannung (kV), Strahlstrom (nA – µA) & Spot-Size (µm)",4,9,none,06:02,"Nun wollen wir etwas messen. Dazu müssen wir zunächst geeignete Messbedingungen  auswählen. Dabei achten wir vor allem auf Beschleunigungsspannung, Strahlstrom und Sp0t-Size, und deren Effekt auf die Probe, bzw. eine Messung.",https://vimeo.com/553413609,https://youtu.be/oeYvJ68cZbw,
Parameter der quantitativen Messung: Standardisierung & k-ratio,4,10,none,07:22,"Um Element-Konzentrationen in einer unbekannten Probe zum messen, vergleichen wir die gemessenen counts per second (cps) eines Elements in der Probe mit den gemessenen cps in einem Standard. Das Prinzip lässt sich sehr leicht über ein Diagramm verstehen. Daraus lässt sich die Standardisierung formalisieren. Die Konzentrationen eines Elements in Probe und Standard sind proportional zu deren gemessenen cps:
Die cps werden meist als Intensität ausgedrückt. Das Verhältnis der Intensitäten in Probe und Standard wird als ›k-ratio‹ bezeichnet:
Die Proportionalität zwischen Elementkonzentrationen und k-ratio lässt sich über den Korrekturfaktor ZAF nun als Gleichung schreiben:
Die k-ratio wird gemessen, die ZAF-Korrektur lässt sich berechnen, und die Element-Konzentration im Standard ist bekannt, sodass die Konzentration im Element wie folgt berechnet wird:",https://vimeo.com/553449801,https://youtu.be/-47vsN5w2pw,
"Parameter der quantitativen Messung: Matrix-Korrektur: ZAF, PAP & φ(ρz)",4,11,none,10:16,"Wird ein Element gemessen, interagiert der ankommende Elektronenstrahl, sowie die entstehende Röntgenstrahlung mit den umgebenden Elementen. Dadurch schwächt und verstärkt sich das Signal des zu messenden Elements. Diese Veränderung durch die umgebende, so genannte Matrix muss korrigiert werden. Das geschieht entweder rein theoretisch, indem die drei Einflussparamter (i) Z: mittlere Atomzahl, (ii) A: Absorption und (iii) F: Sekundäre Fluoreszenz berechnet werden (= ZAF-Korrektur). Alternativ wird eine parametrisierte Funktion verwendet (= φ(ρz)-Funktion), welche experimentell bestimmt wurde (z.B. PAP-Korrektur).Tatsächlich messen wir also k-ratios, welche wir dann über eine Matrix-Korrektur in Konzentrationen umrechnen.",https://vimeo.com/553635010,https://youtu.be/2BGEBSZkdx8,
Parameter der quantitativen Messung: Zählstatistischer Fehler,4,12,none,07:00,"Wenn wir zählen, machen wir meist Fehler. Dieser zählstatistische Fehler wird angegeben mit √n, wobei n die Zahl der gezählten Ereignisse darstellt. Daraus ergibt sich für die Messung von counts ein zählstatistischer Fehler von √counts, bzw. als relativer Fehler  1⁄√counts. Die counts meinen hier alle counts, also cps  counts×secMesszeit.",https://vimeo.com/553650338,https://youtu.be/JRnb2kK-WNo,
Parameter der quantitativen Messung: Untergrund (Background),4,13,none,03:44,"Bei einer Messung wird nicht nur die charakteristische Röntgenstrahlung, sondern auch ein Teil Bremsberg gemessen. Möglicherweise kommt noch etwas Detektor-Rauschen dazu. Diesen Untergrunde – also primär Bremsberg plus evtl. noch Detektor-Rauschen – wird als Untergrund bezeichnet, und muss vom eigentlich Peak der zu messenden Röntgenlinie abgezogen werden. D.h.: cps_peak=cps_gemessen-cps_background",https://vimeo.com/553746564,https://youtu.be/VMkYDtj9xRc,
Parameter der quantitativen Messung: Nachweisgrenze (detection limit – d.l.),4,14,none,08:11,"Der Untergrund wie auch der Peak sind vom Detektor-Rauschen überlagert. Ein Peak kann nur als solcher erkannt und gemessen werden, wenn dieser größer ist als das Detektor-Rauschen. Wir definieren einen Peak als messbar, wenn er größer als das Detektor- und größer als das Peak-Rauschen ist. Daraus ergibt sich für die Nachweisgrenze die prinzipielle Formel:

d.l.(Gew%)=c_(i,Std)×(3×√(2×counts))/I_(i,Std) ×ZAF

Das Detection-Limit wird direkt auf dem Standard mit gemessen, d.h. I_(i,Std) wird gemessen, c_(i,Std) ist bekannt, und 3×√(2×counts) sind 3 mal der zählstatistische Fehler des Untergrunds sowie des Peaks. Die statistisch etwas ausgefuchstere Formel für die Nachweisgrenze gibt es im Video.",https://vimeo.com/553745265,https://youtu.be/0YbsJq931Yw,
Parameter der quantitativen Messung: Linienüberlagerungen/Interferenzen,4,15,none,06:46,"Die Energien der Röntgenlinien zweier Elemente können sehr ähnlich sein, da sie entweder na-he beieinander liegen, oder weil die K-Linie des einen Elements eine sehr ähnliche Energie hat wie die L- oder M-Linie eines anderen Elements. Wie auch immer müssen solche Interferenzen genau beachtet werden, um keine falschen Element-Konzentration zu bestimmen.",https://vimeo.com/554162510,https://youtu.be/dBVJMT-KQn4,
Parameter der quantitativen Messung: Spektrale Auflösung & Vergleich der Linienbreiten von EDS & WDS,4,16,none,03:58,"Der wohl mit größte Vorteil von WDS gegenüber EDS ist die um Größenordnungen bessere Auflösung von WDS. Während EDS Röntgenlinien im Bereich von 100er eV auflöst, löst WDS im 10er eV Bereich auf. Allerdings hängt die WDS-Auflösung auch vom verwendeten Kristall, sowie dem Durchmesser des Rowlandkreises ab.",https://vimeo.com/554168277,https://youtu.be/wTDGnn7LVJA,
Parameter der quantitativen Messung: Chemical Peak Shift,4,17,none,06:51,"Die Elektronen-Bindungsenergien eines Elements können teils sehr unterschiedlich sein, je nachdem in welchem Mineral sie eingebaut sind. D.h., die, Elektronen-Bindungsenergie eines Elements hängt von der Kristallstruktur, sowie den weiteren Elementen im Kristall ab. Die mög-licherweise unterschiedlichen Elektronen-Bindungsenergien verschieben den Peak eines Ele-ments mitunter so dramatisch, sodass möglicherweise auf der Flanke des Peaks, statt auf dem Peak selbst gemessen wird. Dann bestimmt man falsche Element-Konzentrationen.",https://vimeo.com/554168354,https://youtu.be/EbeEzyt5ggM,
Quantitative Messung & Analyse-Modi: Punkt-Analysen,4,18,none,08:02,"Mit Punkt-Analysen bestimmen wir die Zusammensetzung unserer Probe. Mit EDS schnell und qualitativ, mit WDS etwas langsamer, dafür quantitativ, bzw. mit hoher Genauigkeit. Es gibt bei Punkt-Analysen ein Reihe von Dingen zu beachten, wie z.B. Nachbar-Minerale, Größe der Pro-be, Spot-Größe, Genauigkeit der Stage, sekundäre Fluoreszenz oder die EOS-Bedingungen. Als Ergebnis erhalten wir Oxid- oder Element-Konzentrationen. Es ist möglich Punkte zu pro-grammieren und z.B. über Nacht laufen zu lassen.",https://vimeo.com/555885787,https://youtu.be/LWLK2qP00TM,
Quantitative Messung & Analyse-Modi: Linien-Analysen,4,19,none,04:40,"Mit Linien-Analysen bestimmen wir Konzentrations-Profile über Minerale, Gläser – oder ganz allgemein Phasen. Hier müssen wir ebenfalls eine Reihe von Dingen beachten, zunächst oftmals dieselben wie bei Punkt-Analysen, hinzu müssen wir überlegen welche Schrittweite wir brau-chen und wie lange so eine Line dann wohl braucht. Lines können natürlich ebenso wie Punkte vorprogrammiert werden.",https://vimeo.com/555887885,https://youtu.be/kypH0ApNevU,
Quantitative Messung & Analyse-Modi: Element-Maps,4,20,none,03:08,"Element-Maps sind bei EDS wie auch bei WDS in der Regel qualitativ. Nur sehr selten werden quantitative Grids erstellt. Bei EDS wird für eine Map der Strahl, bei WDS für eine höher Genau-igkeit die Probebühne bewegt. Element-Maps können sehr aussagekräftige Übersichten der Elementverteilung in einer Probe geben. Element-Maps brauchen jedoch schnell viele Stunden und sind daher teuer. Werden sei benötigt, lässt man sie gerne z.B. vorprogrammiert über ein Wochenende laufen.",https://vimeo.com/555892879,https://youtu.be/yS7WaBbUkLk,
Quantitative Messung & Analyse-Modi: Proben- und Mess-Vorbereitung,4,21,none,18:24,"Wenn man an ein Gerät geht ist es sehr hilfreich im Vorfeld gut zu überlegen was man messen will, bzw. welche Ergebnisse man möchte, und – die Probe entsprechend vorzubereiten. Diese Sachen können oder sollten am Besten auch mit mir im Vorfeld einmal durchgesprochen wer-den, bzw. gibt es bei mir eine Checkliste, worauf man achten sollte – hier einmal die Checkliste erklärt in einem Video.",https://vimeo.com/558426256,https://youtu.be/fSM-u1kjDRE,
Wie bekomme ich meine Daten von der Mikrosonde?,5,1,none,09:36,"Einmal etwas sehr technisches. Das herunter laden, und vor allem in zB Excel reinladen und et-was nachbearbeiten ist öfters ein Problem, und ist deshalb einmal gezeigt.",https://vimeo.com/558881724,,
Wie genau ist mein Ergebnis: Richtigkeit + Präzision = Genauigkeit,5,2,none,09:52,"Wenn es um die Genauigkeit der Ergebnisse geht, hört man viele verschiedene Begriffe die sol-len hier etwas sortiert werden – und sind es sogar in der ISO-Norm 5725-1.",https://vimeo.com/558911160,,
Einstieg: Ein Wanderausflug in Gruppen,5,3.1,none,07:49,"Zunächst nähern wir uns der Mineralformel-Berechnung mit einer Analogie, um dessen Prinzip zu verstehen. ",https://vimeo.com/559089361,,
Mineralformel-Berechnung,5,3.2,none,10:32,"Nun schauen wir uns – ganz unblutig – die formale Vorgehensweise der Mineralformel-Berechnung an. Es ist nur ein Einstieg in die Berechnung, denn für zB OH-haltige Minerale oder solche mit F-, Cl-, usw. muss die Berechnung entsprechend angepasst werden. Das ist schnell für viele metamorphe Minerale der Schichtsilikate, Amphibol-Gruppe, etc. wichtig.",https://vimeo.com/559144770,,
Besetzungsmodell/Strukturformel eines Minerals,5,3.3,none,04:06,"Nach der Mineralformel-Berechnung kann deren Ergebnis benutzt werden, um ein Besetzungsmodell, bzw. eine Strukturformel zu bestimmen. Das hört sich sehr viel beeindruckender an, als es ist – recht cool ist es trotzdem.",https://vimeo.com/559151845,,
Oxid-Element Umrechnung,5,4.1,none,04:26,Haupt- und Nebenelemente werden meist als Oxid angegeben – dann erhält man (idealerweise) Summen (nahe) 100 Gew%. In Diagrammen sind wir jedoch meist an Element- und nicht Oxid-Konzentrationen interessiert. Daher rechnen wir häufig Oxid- in Element-Konzentrationen um. Das sollten wir also aus im Schlaf beherrschen.,https://vimeo.com/558889327,,
