done,Term,Term (german),Synonym,Synonym (german),Keywords,Keywords (german),Explanation,Explanation (german),Additional Information,Related References,Wikipedia-Link,Image/Animation,Acknowledgement/Guest Contributer,
yes,Asteroid,Asteroid,"Planetesimal, Parent Body","Planetesimal, Mütterkörper",planetary body,planetarischer Körper,"Small bodies between hundreds and tens of km in size. Asteroids are too small to gravitationally clear their orbit, and their small gravity prohibits these become spherical. Asteroids formed in the early solar system. Planetesmials are the same as asteroids, but did not survive and were consumed into the forming planets. Most asteroids orbit the sun between Mars and Jupiter, at a distance between around 2 and 4 AU. Asteroids are the parent bodies of most meteorites, and all chondrites.","Small bodies between hundreds and tens of km in size. Asteroids are too small to gravitationally clear their orbit, and their small gravity prohibits these become spherical. Asteroids formed in the early solar system. Planetesmials are the same as asteroids, but did not survive and were consumed into the forming planets. Most asteroids orbit the sun between Mars and Jupiter, at a distance between around 2 and 4 AU. Asteroids are the parent bodies of most meteorites, and all chondrites.",,asteroidTutorial,WikiAsteorid,,,
yes,DI,DI,Dark Inclusion,Dunkler Einschluss,"acronym,component","Abkürzung, Bestandteil","Dark Inclusions (DI) are lithic, often angular clasts with a size of a few mm to cm and appear dark in light microscopy. DI mostly occur in CV and CO chondrites and are classified into 3 types (A, B, C). They consist of fine-grained, mainly Fe-rich olivines. DI are likely xenolithic, although likely also with a CV origin.","Dark Inclusions (DI) are lithic, often angular clasts with a size of a few mm to cm and appear dark in light microscopy. DI mostly occur in CV and CO chondrites and are classified into 3 types (A, B, C). They consist of fine-grained, mainly Fe-rich olivines. DI are likely xenolithic, although likely also with a CV origin.",,None,None,,,
yes,Fremdling,Fremdling,,,component,Bestandteil,"Small (mostly <50 µm) aggregates occuring on CAIs, and consisting of e.g., metal grains, sulphides, Ca-phosphates, oxides and silicates, rich in refractory siderophile and a number of refractory lithophile elements.","Small (mostly <50 µm) aggregates occuring on CAIs, and consisting of e.g., metal grains, sulphides, Ca-phosphates, oxides and silicates, rich in refractory siderophile and a number of refractory lithophile elements.",,None,None,,,
yes,SRC,SRC,silica rich component,Silikat-reiche Komponente,"acronym,component","Abkürzung, Bestandteil","These typcially consist of low-Ca pyroxene and a silica-polymorph, and a bulk SiO2-content usually exceeding 65 wt%. SRC are are rare component in OC (commonly < 1vol%), and occur only in few CC (CH, CR).","These typcially consist of low-Ca pyroxene and a silica-polymorph, and a bulk SiO2-content usually exceeding 65 wt%. SRC are are rare component in OC (commonly < 1vol%), and occur only in few CC (CH, CR).",,"Hezel+,2006",None,,,
yes,AOA,AOA,amoeboid olivine aggregate,Amöboide Olivin Aggregat,"acronym,component","Abkürzung, Bestandteil","Components with similar sizes of chondrules in the same chondrite. Their shape is commonly irregular, porous and their structure and mineralogy resembles theoretical condensation predictions.","Components with similar sizes of chondrules in the same chondrite. Their shape is commonly irregular, porous and their structure and mineralogy resembles theoretical condensation predictions.",,None,None,,,
yes,FGR,FGR,fine-grained rim,Feinkörniger Rand,"acronym,component","Abkürzung, Bestandteil","Chondrite components such as chondrules, CAIs, or any fragment might be surrounded by a rim of small (µm-sized) grains, sticking to the enclosing object. These fine-grained rims have various structures and compositions, and vary among chondrites. FGR might have accreted onto components during their formation in the protoplanetary disk. Other FGR might represent earlier matrix material. ","Chondrite components such as chondrules, CAIs, or any fragment might be surrounded by a rim of small (µm-sized) grains, sticking to the enclosing object. These fine-grained rims have various structures and compositions, and vary among chondrites. FGR might have accreted onto components during their formation in the protoplanetary disk. Other FGR might represent earlier matrix material. ",,None,None,,,
yes,Metal,Metall,FeNi,FeNi,"mineral group,component","Mineralgruppe, Bestandteil","Metal is mostly either Fe-rich kamacite (Fe90-95Ni5-10) or Fe-poor taenite (Fe35-80Ni20-65). Together with sulphide, metal is one of two minor components, the other being CAIs. Metal abundances are variable among chondrites, and chondrules in the various chodnrites also contain variable metal abundances. Metal abundances are higher in CC chondrules than in OC chondrules, but total abundances are higher in OC than in CC. Metal an EC can have considerable litholphile element abundances, such as Si.","Metal is mostly either Fe-rich kamacite (Fe90-95Ni5-10) or Fe-poor taenite (Fe35-80Ni20-65). Together with sulphide, metal is one of two minor components, the other being CAIs. Metal abundances are variable among chondrites, and chondrules in the various chodnrites also contain variable metal abundances. Metal abundances are higher in CC chondrules than in OC chondrules, but total abundances are higher in OC than in CC. Metal an EC can have considerable litholphile element abundances, such as Si.",,None,None,,,
yes,Sulphide,Sulfid,sulfide,,"mineral group,component","Mineralgruppe, Bestandteil","A number of sulphide minerals occur in meteorties, mostly, troilite and pyrrhotite. Together with metal, sulphide is one of two minor components, the other being CAIs. Sulphide abundances are variable among chondrites, and chondrules in the various chodnrites also contain variable metal abundances. Metal abundances are higher in CC chondrules than in OC chondrules, but total abundances are higher in OC than in CC. EC have high sulphide abundances.","A number of sulphide minerals occur in meteorties, mostly, troilite and pyrrhotite. Together with metal, sulphide is one of two minor components, the other being CAIs. Sulphide abundances are variable among chondrites, and chondrules in the various chodnrites also contain variable metal abundances. Metal abundances are higher in CC chondrules than in OC chondrules, but total abundances are higher in OC than in CC. EC have high sulphide abundances.",,None,None,,,
yes,Macrochondrule,Makrochondre,,,component,Bestandteil,Chondrules with sizes larger than 5 mm.,Chondrules with sizes larger than 5 mm.,,"Bridges+Hutchison,1997;Hezel+,2006;Weyrauch+Bischoff,2012",None,,,
yes,RI,RI,refractory inclusion,Refraktärer Einschluss,"acronym,component","Abkürzung, Bestandteil","These are components containing mainly refractory elements such as Ca and Al, and or formed early in the protoplanetary disk by condensation. Typical components are CAIs, AOAs, and refractory nuggets.","These are components containing mainly refractory elements such as Ca and Al, and or formed early in the protoplanetary disk by condensation. Typical components are CAIs, AOAs, and refractory nuggets.",,None,None,,,
yes,Presolar Grain,Präsolares Korn,,,component,Bestandteil,"Presolar grains are identified and interpreted as such by their large nucleosynthetic anomalies. Presolar grains formed in or around stars in various stages of their life cycle. Typical origins of presolar grains are AGB stars or Type II Supernovas. Typical grains are SiC, Nitrides, but also silicates. Typical anomalies are found in O and Si.","Presolar grains are identified and interpreted as such by their large nucleosynthetic anomalies. Presolar grains formed in or around stars in various stages of their life cycle. Typical origins of presolar grains are AGB stars or Type II Supernovas. Typical grains are SiC, Nitrides, but also silicates. Typical anomalies are found in O and Si.",,None,WikiPresolarGrais,,,
yes,Alteration,Alteration,,Veränderung,,,"Any secondary change of meteorite material, i.e., the material changed after its initial formation. Typically, elements are exchanged when a fluid permeates through the rock, or in response to heating during metamorphism. Heating can alos cause re-crystallisation, i.e., a change in the crystal structure and the transformation from one mineral into another.","Any secondary change of meteorite material, i.e., the material changed after its initial formation. Typically, elements are exchanged when a fluid permeates through the rock, or in response to heating during metamorphism. Heating can alos cause re-crystallisation, i.e., a change in the crystal structure and the transformation from one mineral into another.",,None,None,,,
yes,Element,Element,,,,,Chemical element in the Periodic Table. An element is characterised by its number of protons in its core. The number of neutrons in its core might vary.,Chemical element in the Periodic Table. An element is characterised by its number of protons in its core. The number of neutrons in its core might vary.,,None,None,,,
yes,Element Mass,Elementarmasse,,,,,The weighted sum of the stable isotopes of an element.,The weighted sum of the stable isotopes of an element.,,None,None,,,
yes,Mass Number,Massenzahl,Z+N,Z+N,,,"The sum of protons and neutrons in the nucleus. The number of protons is also called 'atomic number' or 'Z', and the number of neutrons 'N'. Therefore the mass number is Z+N.","The sum of protons and neutrons in the nucleus. The number of protons is also called 'atomic number' or 'Z', and the number of neutrons 'N'. Therefore the mass number is Z+N.",,None,None,,,
yes,Atomic Number,Ordnungszahl,Z,Z,,,"The number of protons in the nucleus of an isotope/element, also designated 'Z'.","The number of protons in the nucleus of an isotope/element, also designated 'Z'.",,None,None,,,
yes,Isotope,Isotop,,,,,"Each chemical element consists of a number of isotopes. Each element has an atomic core (nucleus) and is defined by its constant number of protons in its nucleus. The number of neutrons in the nucleus can vary. Nucleii with the same number of protons but different numbers of neutrons are called isotopes. An isotope might be stable or unstable. The number of isotopes vary among the elements. While Tc has no stable isotopes or Na has only one, XX has with XX the most stable isotopes. Unstable isotopes decay by various process into other elements. For this to happen, either neutrons must be changed into protons, or protons into neutrons. This decay of unstable isotopes can be used for dating rocks.","Each chemical element consists of a number of isotopes. Each element has an atomic core (nucleus) and is defined by its constant number of protons in its nucleus. The number of neutrons in the nucleus can vary. Nucleii with the same number of protons but different numbers of neutrons are called isotopes. An isotope might be stable or unstable. The number of isotopes vary among the elements. While Tc has no stable isotopes or Na has only one, XX has with XX the most stable isotopes. Unstable isotopes decay by various process into other elements. For this to happen, either neutrons must be changed into protons, or protons into neutrons. This decay of unstable isotopes can be used for dating rocks.",,None,None,,,
yes,Nucleus,Atomkern,,,,,"The core of an isotope/element, consisting of protons and neutrons.","The core of an isotope/element, consisting of protons and neutrons.",,None,None,,,
yes,Nuclide,Nuklid,,,,,A nuclide is the nucleus (=core) of a specific isotope. An isotope is a nuclide with electrons.,A nuclide is the nucleus (=core) of a specific isotope. An isotope is a nuclide with electrons.,,None,None,,,
yes,Carbonaceous,Kohliger,"C, CC","C, CC","classification, meteorite","Klassifikation, Meteorit","Carbonaceous Chondrites (CC); Class of meteorites, consisting of the most primitive chondrites (carbonaceous chondrites, CC). The Sun-like CI-group belongs to this class. The CC contain up to 3-4 vol.% CAI, and about equal amounts of chondrules and matrix. They are progressively volatile element depleted. However all of them have flat highly volatile elements (‘plateau volatiles’). The CC have other Cr and Ti nucleosynthetic bulk isotope compositions.","Carbonaceous Chondrites (CC); Class of meteorites, consisting of the most primitive chondrites (carbonaceous chondrites, CC). The Sun-like CI-group belongs to this class. The CC contain up to 3-4 vol.% CAI, and about equal amounts of chondrules and matrix. They are progressively volatile element depleted. However all of them have flat highly volatile elements (‘plateau volatiles’). The CC have other Cr and Ti nucleosynthetic bulk isotope compositions.",,None,WikiCC,,,
yes,Ordinary,Gewöhnlich,"O, OC","O, OC","classification, meteorite","Klassifikation, Meteorit","Ordinary Chondrites (OC); Class of meteorites, mostly consisting of chondrules (60-80 vol%) and matrix (~10-15 vol%), minor opaques (2-10 vol%) and rare CAIs (0.1-1 vol%). Average chondrules sizes are between 300 and 900 µm. OC are sub-divded into the 3 groups high-metal (H), low-metal (L), low-iron, low-metal (LL). Si/Mg ratios are elevated compared to solar, and volatile elements are variably depleted relative to solar.","Gewöhnliche Chondrite (Ordinary Chondrites – OC); Eine Meteoritenklasse, die hauptsächlich aus Chondren (60-80 vol%) und Matrix (~10-15 vol%) besteht, etwas Opak-Phasen (2-10 vol%) und seltene CAIs (0.1-1 vol%). Mittlere Chondren-Größen liegen zwischen 300 und 900 µm. OC werden in folgende 3 Gruppen eingeteilt: high-metal (H), low-metal (L), low-iron, low-metal (LL). Die Si/Mg Verhältnisse der OC sind super-solar, und die volatile Element sind zu variablen Anteilen verarmt relativ zu solar.",,None,WikiOC,,,
yes,Enstatite,Enstatit,"E, EC","E, EC","classification, meteorite","Klassifikation, Meteorit","Enstatite Chondrites (EC); Class of meteorites, mostly consisting of chondrules (60-80 vol%) and matrix (~2-15 vol%), minor opaques (EH: 8 & EL: 15 vol%) and rare CAIs (0.1-1 vol%). Average chondrules sizes are 200 (EH) and 600 µm (EL). EC are sub-divded into the 2 groups high-metal (EH), low-metal (EL). Si/Mg ratios are higher than in solar (i.e., CC ) and OC. Volatile elements solar to super-solar in EH and depleted in EL.","Enstatite Chondrites (EC); Class of meteorites, mostly consisting of chondrules (60-80 vol%) and matrix (~2-15 vol%), minor opaques (EH: 8 & EL: 15 vol%) and rare CAIs (0.1-1 vol%). Average chondrules sizes are 200 (EH) and 600 µm (EL). EC are sub-divded into the 2 groups high-metal (EH), low-metal (EL). Si/Mg ratios are higher than in solar (i.e., CC ) and OC. Volatile elements solar to super-solar in EH and depleted in EL.",,None,WikiEnstatiteChondrite,,,
yes,Mesosiderite,Mesosiderit,,,"classification, meteorite","Klassifikation, Meteorit","Breccias consisting mainly of silicates and FeNi metal, plus troilite. Mesosiderites are classifed into 3 types (A, B, C), based on inreasing orthopyroxene abundance, and into 4 metamorphic grades, increasing from 1-4.","Breccias consisting mainly of silicates and FeNi metal, plus troilite. Mesosiderites are classifed into 3 types (A, B, C), based on inreasing orthopyroxene abundance, and into 4 metamorphic grades, increasing from 1-4.",,"Krot+,2104",WikiMesosiderite,,,
yes,Iron Meteorite,Eisenmeteorit,Iron,Eisen,"classification, meteorite","Klassifikation, Meteorit","Popular, but outdated meteorite classification. All meteorites mainly consisting of rocky (i.e., silicate and oxide) material are designated stone meteorites or stones.","Popular, but outdated meteorite classification. All meteorites mainly consisting of rocky (i.e., silicate and oxide) material are designated stone meteorites or stones.",,None,WikiIronMeteorite,,,
yes,Stone Meteorite,Steinmeteorit,Stone,Stein,"classification, meteorite","Klassifikation, Meteorit","Popular, but outdated meteorite classification. All meteorites mainly consisting of metal and sulphide material are designated iron meteorites or irons.","Popular, but outdated meteorite classification. All meteorites mainly consisting of metal and sulphide material are designated iron meteorites or irons.",,None,None,,,
yes,Impact,Impakt,,,process,Prozess,The high-velocity collision of typically two bodies. Collision velocities are typically on the order of a few km/s.,The high-velocity collision of typically two bodies. Collision velocities are typically on the order of a few km/s.,,None,WikiImpact,,,
yes,Impactor,Impaktor,,,planetary body,Planetarischer Körper,The object colliding with and impacting on another body.,The object colliding with and impacting on another body.,,None,None,,,
yes,Impact Crater,Impaktkrater,,Einschlagkrater,structure,Struktur,"The surface structure after an impact. Impacts with a few km and above have an about impactor to impact crater ratio of about 1:20. Planeatry bodies without surface processes such as plate tectonics or volcanism are dominated by impact craters. Meteorites with up to only a few m in diameter typically do not produce an impact crater, although this depends on the rock these are impacting onto. ","The surface structure after an impact. Impacts with a few km and above have an about impactor to impact crater ratio of about 1:20. Planeatry bodies without surface processes such as plate tectonics or volcanism are dominated by impact craters. Meteorites with up to only a few m in diameter typically do not produce an impact crater, although this depends on the rock these are impacting onto. ",,None,WikiCrater,,,
yes,Solar,Solar,,,,,"Often used in ‘solar abundance’, which refers to the elemental composition of the Sun. As this consists largely of H and He, usually relative abundances are meant. The term ‘solar abundance’ is often used interchangeably with ‘CI abundance’. This is not entirely correct, as solar abundances are known only within several percent precision, and some values deviate from CI abundances.","Often used in ‘solar abundance’, which refers to the elemental composition of the Sun. As this consists largely of H and He, usually relative abundances are meant. The term ‘solar abundance’ is often used interchangeably with ‘CI abundance’. This is not entirely correct, as solar abundances are known only within several percent precision, and some values deviate from CI abundances.",,None,None,,,
yes,Parent Body,Mutterkörper,"asteroid, planetesimal, Mars, Moon, Comet","Asteroid, Planetesimal, Mars, Mond, Komet",planetary body,Planetarischer Körper,"Any object from which a meteorite originated. Typical parent bodies are asteroids, Mars, and the Moon. Some meteorites might have originated from comets. In principal meteorites could also originate from Earth – and have landed on e.g., the Moon.","Any object from which a meteorite originated. Typical parent bodies are asteroids, Mars, and the Moon. Some meteorites might have originated from comets. In principal meteorites could also originate from Earth – and have landed on e.g., the Moon.",,None,None,,,
yes,REE,REE,"rare earth element, HREE, LREE",Selten Erden,acronym,Abkürzung,"The elements with atomic number from 57 to 71 (La, Ce, Pr, Nd, Pm, Sm, Eu, Gd, Tb, Dy, Ho, Er, Tm, Yb, Lu) are called rare earth elements or lanthanides.","The elements with atomic number from 57 to 71 (La, Ce, Pr, Nd, Pm, Sm, Eu, Gd, Tb, Dy, Ho, Er, Tm, Yb, Lu) are called rare earth elements or lanthanides.",,None,None,,,
yes,metamorphism,Metamorphose,,,process,Prozess,"Meteorite parent bodies might have been heated during or shortly after their formation, triggering metamorphic reactions. The extent of metamorphic overprint Is expressed in the petrologic type classification of a meteorite. Increasing metamorphic overprint is expressed in petrologic types 3.x-7 (except for 3.00, indicating no metamorphic overprint).","Meteorite parent bodies might have been heated during or shortly after their formation, triggering metamorphic reactions. The extent of metamorphic overprint Is expressed in the petrologic type classification of a meteorite. Increasing metamorphic overprint is expressed in petrologic types 3.x-7 (except for 3.00, indicating no metamorphic overprint).",,None,None,,,
yes,differentiated,Differenziert,,,classification,Klassifikation,A differentiated parent body was heated and separated into a metallic core and rocky mantle.,A differentiated parent body was heated and separated into a metallic core and rocky mantle.,,None,WikiMeteorite,,,
yes,undifferentiated,Undifferenziert,,,classification,Klassifikation,"An undifferntiated parent may have experienced some heating and metamorphism, but did not separate into a metallic core and rocky mantle.","An undifferntiated parent may have experienced some heating and metamorphism, but did not separate into a metallic core and rocky mantle.",,None,WikiMeteorite,,,
yes,Pallasite,Pallasit,,,"classification, meteorite","Klassifikation, Meteorit","Magmatic objects with about equal amounts of silicates (mostly olivine), FeNi metal and troilite. Three types are identified, based on mineralogy and composition.","Magmatic objects with about equal amounts of silicates (mostly olivine), FeNi metal and troilite. Three types are identified, based on mineralogy and composition.",,"Krot+,2104",WikiPallasite,,,
yes,Age,Alter,"chronology, CRE","Altersskala, CRE",concept,Konzept,"The age of meteorites and their components is determined using long-lived and short-lived radionuclide systems. Long-lived systems allow absolute age determination, while short-lived systems allow high-resolution chronology of processes in the erly solar system such as chondrite component formation of planetary core formation. ","The age of meteorites and their components is determined using long-lived and short-lived radionuclide systems. Long-lived systems allow absolute age determination, while short-lived systems allow high-resolution chronology of processes in the erly solar system such as chondrite component formation of planetary core formation. ",,None,None,,,
yes,Planet,Planet,,,planetary body,Planetarischer Körper,"A planet gravitationally cleared its orbit from any other object, except for maybe the Lagrange points. It also owes its spherical shape from its gravity. Our solar system has the eight planets: Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus and Neptune.","A planet gravitationally cleared its orbit from any other object, except for maybe the Lagrange points. It also owes its spherical shape from its gravity. Our solar system has the eight planets: Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus and Neptune.",,None,WikiPlanet,,,
yes,Planetesimal,Planetesimal,"asteroid, parent body","Asteroid, Mutterkörper",planetary body,Planetarischer Körper,"cf. Asteroid. Planetesimal is synonym to asteroids, only that asteroids were consuemd in the early solar system to accrete the planets","cf. Asteroid. Planetesimal is synonym to asteroids, only that asteroids were consuemd in the early solar system to accrete the planets",,None,WikiPlanetesimal,,,
yes,Kirkwood Gaps,Kirkwoodlücke,,,,,"Resonant orbits with Jupiter are called Krikwood Gaps. At certain distances from the Sun, an object will always at the same point on its orbit have its closest distance to Jupiter. For example, when Jupiter oribts the Sun once, an object might orbit the Sun exactly twice (1:2 resonance). Or three times (1:3 resonance). Or Jupiter might orbit the sun three times, while at the same time the object orbits the sun seven times (3:7 resonance). Each time the object is closest to Jupiter, Jupiter's massive gravity will slightly nudge the object out of its orbit. Over time the object's orbit is massivly differnt, much more eliptic, and might even become an Earth crossing object. This effect clears the resonances of objects – producing the Kirkwood Gaps – thereby guiding meteoroids on their path to Earth and potentially producing meteorites.","Resonant orbits with Jupiter are called Krikwood Gaps. At certain distances from the Sun, an object will always at the same point on its orbit have its closest distance to Jupiter. For example, when Jupiter oribts the Sun once, an object might orbit the Sun exactly twice (1:2 resonance). Or three times (1:3 resonance). Or Jupiter might orbit the sun three times, while at the same time the object orbits the sun seven times (3:7 resonance). Each time the object is closest to Jupiter, Jupiter's massive gravity will slightly nudge the object out of its orbit. Over time the object's orbit is massivly differnt, much more eliptic, and might even become an Earth crossing object. This effect clears the resonances of objects – producing the Kirkwood Gaps – thereby guiding meteoroids on their path to Earth and potentially producing meteorites.",,kirkwoodCalculation,WikiKirkwoodGap,,,
yes,Asteroid Belt,Asteroidengürtel,,,,,"Most asteroids orbit the sun at a distance of 2-4 AU. Asteroids are, however, also found at other distances or in Lagrange points of planets.","Most asteroids orbit the sun at a distance of 2-4 AU. Asteroids are, however, also found at other distances or in Lagrange points of planets.",,None,WikiAsteroidBelt,,,
yes,CRE,CRE,cosmic ray exposure age,Expositionsdatieung mit kosmischer Strahlung,"acronym, chronology","Abkürzung, Altersskala","Subsurface material on a parent body such as an asteroid is shielded from cosmic rays. When this material is expelled from the parent body and transferred to Earth's surface, it is again shielded from cosmic rays, this time below Earth's atmosphere. During the meteoroids passage through space from the asteroid to Earth, it is exposed to cosmic rays. These can produce radionuclides within the meteorite, which can then be used to determine the time the meteoroid travelled through space. Possible radionuclides that can be used are: 10Be, 14C, 26Al, 36Cl, 41Ca, 53Mn, 59Ni, 81Kr, 129I. CRE ages of stony meteorites are up to several hundred Ma, those of iron meteorites up to a few Ga, likely because stony meteorites are eroded relatively more quickly by space weathering.","Subsurface material on a parent body such as an asteroid is shielded from cosmic rays. When this material is expelled from the parent body and transferred to Earth's surface, it is again shielded from cosmic rays, this time below Earth's atmosphere. During the meteoroids passage through space from the asteroid to Earth, it is exposed to cosmic rays. These can produce radionuclides within the meteorite, which can then be used to determine the time the meteoroid travelled through space. Possible radionuclides that can be used are: 10Be, 14C, 26Al, 36Cl, 41Ca, 53Mn, 59Ni, 81Kr, 129I. CRE ages of stony meteorites are up to several hundred Ma, those of iron meteorites up to a few Ga, likely because stony meteorites are eroded relatively more quickly by space weathering.",,None,None,,,
yes,volatile elements,Flüchtige Elemente,volatiles,Volatil,classification,Klassifikation,Elements with a 50% condensation temperature between 640 and 1230 K.,Elements with a 50% condensation temperature between 640 and 1230 K.,,None,None,,,
