  
Weight percent  	      Group : 210830        	  Sample : 210830_0013_QNT  	 Page 	  1 	  
  
   No. 	   SiO2  	   TiO2  	   Al2O3 	   FeO   	   MnO   	   MgO   	   CaO   	   Na2O  	   K2O   	   P2O5  	   Cr2O3 	   NiO   	  Total  	Comment   
  185  	  0.8886 	  0.0000 	  0.0708 	  0.0000 	  0.0062 	  1.1080 	 53.1845 	  0.0000 	  0.0000 	  0.0000 	  0.0000 	 -0.0300 	 55.2281 	GProbe Mitte Grid 010x011 Grid 020x021 
  187  	  0.8736 	  0.0075 	  0.0095 	  0.0000 	  0.0105 	  1.1157 	 53.1693 	  0.0322 	  0.0023 	  0.0000 	  0.0008 	  0.0051 	 55.2266 	GProbe Mitte Grid 010x011 Grid 020x021 
  188  	  1.0277 	  0.0003 	  0.0000 	  0.0141 	  0.0000 	  1.1427 	 53.4855 	  0.0390 	  0.0000 	  0.0147 	  0.0098 	 -0.0050 	 55.7288 	GProbe Mitte Grid 010x011 Grid 020x021 
  190  	  0.9384 	  0.0000 	  0.0044 	  0.0017 	  0.0000 	  1.1787 	 53.0858 	  0.0745 	  0.0004 	  0.0000 	  0.0059 	 -0.0010 	 55.2888 	GProbe Mitte Grid 010x011 Grid 020x021 
  191  	  0.9109 	  0.0053 	  0.0032 	  0.0000 	  0.0000 	  1.1149 	 52.9875 	  0.0244 	  0.0017 	  0.0066 	  0.0000 	  0.0147 	 55.0693 	GProbe Mitte Grid 010x011 Grid 020x021 
  193  	  0.6089 	  0.0000 	  0.0033 	  0.0121 	  0.0000 	  1.1256 	 53.1168 	  0.0547 	  0.0000 	  0.0051 	  0.0071 	 -0.0080 	 54.9256 	GProbe Mitte Grid 010x011 Grid 020x021 
  194  	  1.4225 	  0.0000 	  0.0033 	  0.0031 	  0.0000 	  1.0768 	 53.3691 	  0.0442 	  0.0000 	  0.0029 	  0.0000 	 -0.0140 	 55.9080 	GProbe Mitte Grid 010x011 Grid 020x021 
  196  	  1.1005 	  0.0064 	  0.0000 	  0.0000 	  0.0000 	  1.1092 	 52.7882 	  0.0359 	  0.0045 	  0.0160 	  0.0000 	  0.0081 	 55.0688 	GProbe Mitte Grid 010x011 Grid 020x021 
  197  	  0.6585 	  0.0077 	  0.0000 	  0.0014 	  0.0057 	  1.1330 	 51.9572 	  0.0000 	  0.0000 	  0.0008 	  0.0034 	 -0.0080 	 53.7598 	GProbe Mitte Grid 010x011 Grid 020x021 
  199  	  0.9907 	  0.0081 	  0.0071 	  0.0058 	  0.0000 	  1.1626 	 51.7249 	  0.0926 	  0.0000 	  0.0105 	  0.0033 	 -0.0140 	 53.9917 	GProbe Mitte Grid 010x011 Grid 020x021 
  200  	  0.9133 	  0.0000 	  0.0000 	  0.0036 	  0.0105 	  1.1389 	 51.7378 	  0.0294 	  0.0000 	  0.0102 	  0.0000 	  0.0101 	 53.8538 	GProbe Mitte Grid 010x011 Grid 020x021 
  202  	  0.7092 	  0.0000 	  0.0071 	  0.0000 	  0.0057 	  1.1337 	 51.8237 	  0.0416 	  0.0004 	  0.0155 	  0.0000 	 -0.0110 	 53.7258 	GProbe Mitte Grid 010x011 Grid 020x021 
  203  	  0.8097 	  0.0000 	  0.0000 	  0.0000 	  0.0000 	  1.1145 	 51.9534 	  0.0523 	  0.0000 	  0.0158 	  0.0000 	  0.0020 	 53.9477 	GProbe Mitte Grid 010x011 Grid 020x021 
  204  	  0.5134 	  0.0000 	  0.0039 	  0.0000 	  0.0000 	  1.1025 	 52.1328 	  0.0132 	  0.0010 	  0.0044 	  0.0000 	  0.0013 	 53.7725 	GProbe Mitte Grid 010x011 Grid 020x021 
  205  	  0.8599 	  0.0001 	  0.0189 	  0.0000 	  0.0061 	  1.1190 	 52.0107 	  0.0000 	  0.0039 	  0.0013 	  0.0000 	 -0.0190 	 54.0009 	GProbe Mitte Grid 010x011 Grid 020x021 
  206  	  0.6410 	  0.0028 	  0.0070 	  0.0000 	  0.0000 	  1.0960 	 52.3240 	  0.0527 	  0.0024 	  0.0069 	  0.0000 	  0.0035 	 54.1364 	GProbe Mitte Grid 010x011 Grid 020x021 
  208  	  1.2968 	  0.0000 	  0.0005 	  0.0084 	  0.0000 	  1.1001 	 52.0898 	  0.0349 	  0.0000 	  0.0133 	  0.0024 	 -0.0060 	 54.5403 	GProbe Mitte Grid 010x011 Grid 020x021 
  209  	  0.9322 	  0.0074 	  0.0004 	  0.0028 	  0.0000 	  1.1570 	 52.2611 	  0.0482 	  0.0000 	  0.0074 	  0.0000 	 -0.0000 	 54.4165 	GProbe Mitte Grid 010x011 Grid 020x021 
  211  	  0.5813 	  0.0000 	  0.0035 	  0.0026 	  0.0000 	  1.0732 	 52.1857 	  0.0404 	  0.0022 	  0.0151 	  0.0005 	 -0.0110 	 53.8936 	GProbe Mitte Grid 010x011 Grid 020x021 
  212  	  1.0648 	  0.0000 	  0.0000 	  0.0064 	  0.0017 	  1.1306 	 51.6577 	  0.0390 	  0.0000 	  0.0052 	  0.0037 	 -0.0070 	 53.9021 	GProbe Mitte Grid 010x011 Grid 020x021 
  214  	  0.9528 	  0.0000 	  0.0000 	  0.0000 	  0.0000 	  1.1124 	 52.1719 	  0.0573 	  0.0000 	  0.0063 	  0.0000 	  0.0133 	 54.3140 	GProbe Mitte Grid 010x011 Grid 020x021 
  215  	  0.8632 	  0.0149 	  0.0286 	  0.0000 	  0.0000 	  1.1149 	 52.1137 	  0.0254 	  0.0000 	  0.0123 	  0.0078 	 -0.0020 	 54.1788 	GProbe Mitte Grid 010x011 Grid 020x021 
  217  	  0.6412 	  0.0086 	  0.0000 	  0.0093 	  0.0000 	  1.1046 	 52.1719 	  0.0841 	  0.0000 	  0.0117 	  0.0155 	 -0.0130 	 54.0339 	GProbe Mitte Grid 010x011 Grid 020x021 
  218  	  0.8033 	  0.0060 	  0.0023 	  0.0000 	  0.0000 	  1.0947 	 52.2439 	  0.0721 	  0.0000 	  0.0063 	  0.0000 	 -0.0160 	 54.2126 	GProbe Mitte Grid 010x011 Grid 020x021 
  220  	  0.7861 	  0.0079 	  0.0023 	  0.0198 	  0.0000 	  1.1312 	 52.1084 	  0.0515 	  0.0000 	  0.0081 	  0.0077 	 -0.0140 	 54.1091 	GProbe Mitte Grid 010x011 Grid 020x021 
  221  	  0.8684 	  0.0072 	  0.0000 	  0.0219 	  0.0000 	  1.1424 	 52.3188 	  0.0506 	  0.0000 	  0.0023 	  0.0108 	 -0.0250 	 54.3975 	GProbe Mitte Grid 010x011 Grid 020x021 
  223  	  1.9718 	  0.0051 	  0.0044 	  0.0084 	  0.0000 	  1.1035 	 51.8327 	  0.0488 	  0.0058 	  0.0122 	  0.0000 	 -0.0080 	 54.9846 	GProbe Mitte Grid 010x011 Grid 020x021 
  224  	  0.7941 	  0.0002 	  0.0000 	  0.0000 	  0.0000 	  1.1056 	 52.3412 	  0.0377 	  0.0000 	  0.0142 	  0.0000 	  0.0033 	 54.2963 	GProbe Mitte Grid 010x011 Grid 020x021 
  226  	  0.7670 	  0.0060 	  0.0011 	  0.0107 	  0.0000 	  1.1234 	 52.4452 	  0.0529 	  0.0003 	  0.0189 	  0.0000 	 -0.0190 	 54.4066 	GProbe Mitte Grid 010x011 Grid 020x021 
  227  	  0.7264 	  0.0060 	  0.0003 	  0.0000 	  0.0000 	  1.1322 	 52.6136 	  0.0473 	  0.0014 	  0.0097 	  0.0000 	 -0.0100 	 54.5270 	GProbe Mitte Grid 010x011 Grid 020x021 
  229  	  1.0408 	  0.0000 	  0.0022 	  0.0000 	  0.0000 	  1.1313 	 52.1232 	  0.0505 	  0.0000 	  0.0055 	  0.0041 	 -0.0030 	 54.3547 	GProbe Mitte Grid 010x011 Grid 020x021 
  230  	  1.0134 	  0.0025 	  0.0011 	  0.0010 	  0.0000 	  1.1627 	 51.6772 	  0.0462 	  0.0000 	  0.0060 	  0.0000 	  0.0196 	 53.9297 	GProbe Mitte Grid 010x011 Grid 020x021 
  232  	  0.4474 	  0.0049 	  0.0006 	  0.0000 	  0.0000 	  1.1487 	 51.9882 	  0.0371 	  0.0000 	  0.0028 	  0.0001 	 -0.0140 	 53.6159 	GProbe Mitte Grid 010x011 Grid 020x021 
  233  	  1.0109 	  0.0028 	  0.0015 	  0.0078 	  0.0000 	  1.1308 	 51.9529 	  0.0456 	  0.0036 	  0.0145 	  0.0000 	  0.0086 	 54.1791 	GProbe Mitte Grid 010x011 Grid 020x021 
  235  	  0.8074 	  0.0000 	  0.0017 	  0.0000 	  0.0000 	  1.1518 	 52.0574 	  0.0566 	  0.0000 	  0.0046 	  0.0005 	  0.0116 	 54.0917 	GProbe Mitte Grid 010x011 Grid 020x021 
  236  	  0.7721 	  0.0000 	  0.0005 	  0.0000 	  0.0148 	  1.1721 	 51.8652 	  0.0525 	  0.0000 	  0.0201 	  0.0000 	 -0.0040 	 53.8933 	GProbe Mitte Grid 010x011 Grid 020x021 
  238  	  0.6116 	  0.0006 	  0.0000 	  0.0111 	  0.0039 	  1.1166 	 51.9563 	  0.0383 	  0.0000 	  0.0000 	  0.0000 	 -0.0010 	 53.7374 	GProbe Mitte Grid 010x011 Grid 020x021 
  239  	  0.8637 	  0.0000 	  0.0012 	  0.0000 	  0.0000 	  1.1235 	 51.7812 	  0.0550 	  0.0000 	  0.0062 	  0.0070 	 -0.0030 	 53.8348 	GProbe Mitte Grid 010x011 Grid 020x021 
  241  	  0.5739 	  0.0000 	  0.0016 	  0.0000 	  0.0000 	  1.1190 	 51.9639 	  0.0432 	  0.0004 	  0.0201 	  0.0000 	  0.0219 	 53.7441 	GProbe Mitte Grid 010x011 Grid 020x021 
  242  	  0.8254 	  0.0083 	  0.0000 	  0.0108 	  0.0096 	  1.0744 	 52.2577 	  0.0523 	  0.0000 	  0.0051 	  0.0081 	  0.0201 	 54.2717 	GProbe Mitte Grid 010x011 Grid 020x021 
  244  	  0.6226 	  0.0000 	  0.0065 	  0.0000 	  0.0083 	  1.1699 	 52.2892 	  0.0595 	  0.0000 	  0.0118 	  0.0000 	 -0.0060 	 54.1618 	GProbe Mitte Grid 010x011 Grid 020x021 
  245  	  0.5724 	  0.0000 	  0.0001 	  0.0000 	  0.0000 	  1.1298 	 52.0874 	  0.0522 	  0.0000 	  0.0157 	  0.0023 	 -0.0010 	 53.8590 	GProbe Mitte Grid 010x011 Grid 020x021 
  247  	  0.6504 	  0.0004 	  0.0000 	  0.0000 	  0.0000 	  1.1199 	 50.9073 	  0.0551 	  0.0000 	  0.0000 	  0.0082 	 -0.0120 	 52.7294 	GProbe Mitte Grid 010x011 Grid 020x021 
  248  	  0.9551 	  0.0000 	  0.0000 	  0.0000 	  0.0017 	  1.0734 	 50.7633 	  0.0451 	  0.0016 	  0.0060 	  0.0000 	  0.0043 	 52.8505 	GProbe Mitte Grid 010x011 Grid 020x021 
  250  	  0.7542 	  0.0045 	  0.0025 	  0.0000 	  0.0126 	  1.0942 	 50.9107 	  0.0481 	  0.0029 	  0.0000 	  0.0000 	 -0.0010 	 52.8287 	GProbe Mitte Grid 010x011 Grid 020x021 
  251  	  0.8276 	  0.0000 	  0.0023 	  0.0000 	  0.0070 	  1.0676 	 50.7905 	  0.0505 	  0.0000 	  0.0089 	  0.0000 	 -0.0150 	 52.7394 	GProbe Mitte Grid 010x011 Grid 020x021 
  253  	  1.4429 	  0.0000 	  0.0013 	  0.0000 	  0.0000 	  1.0684 	 50.2877 	  0.0393 	  0.0000 	  0.0095 	  0.0065 	  0.0148 	 52.8704 	GProbe Mitte Grid 010x011 Grid 020x021 
  254  	  1.0558 	  0.0000 	  0.0015 	  0.0004 	  0.0000 	  1.1034 	 50.6345 	  0.0527 	  0.0000 	  0.0000 	  0.0000 	 -0.0170 	 52.8313 	GProbe Mitte Grid 010x011 Grid 020x021 
  256  	  0.6596 	  0.0000 	  0.0000 	  0.0000 	  0.0026 	  1.0740 	 50.9889 	  0.0433 	  0.0000 	  0.0000 	  0.0049 	 -0.0010 	 52.7724 	GProbe Mitte Grid 010x011 Grid 020x021 
  257  	  0.6256 	  0.0000 	  0.0000 	  0.0163 	  0.0000 	  1.0696 	 50.8096 	  0.0494 	  0.0000 	  0.0152 	  0.0156 	 -0.0160 	 52.5854 	GProbe Mitte Grid 010x011 Grid 020x021 
  259  	  0.7999 	  0.0006 	  0.0017 	  0.0000 	  0.0000 	  1.0269 	 50.8472 	  0.0444 	  0.0000 	  0.0052 	  0.0000 	 -0.0010 	 52.7249 	GProbe Mitte Grid 010x011 Grid 020x021 
  260  	  0.8243 	  0.0037 	  0.0000 	  0.0000 	  0.0000 	  1.0693 	 50.9555 	  0.0507 	  0.0016 	  0.0003 	  0.0173 	 -0.0030 	 52.9199 	GProbe Mitte Grid 010x011 Grid 020x021 
  262  	  0.7647 	  0.0025 	  0.0010 	  0.0036 	  0.0000 	  1.0865 	 51.0314 	  0.0498 	  0.0016 	  0.0000 	  0.0147 	 -0.0140 	 52.9418 	GProbe Mitte Grid 010x011 Grid 020x021 
  263  	  0.7690 	  0.0046 	  0.0092 	  0.0000 	  0.0000 	  1.0872 	 50.7900 	  0.0506 	  0.0000 	  0.0044 	  0.0000 	 -0.0150 	 52.7001 	GProbe Mitte Grid 010x011 Grid 020x021 
  265  	  0.6798 	  0.0029 	  0.0000 	  0.0096 	  0.0000 	  1.0577 	 50.9641 	  0.0422 	  0.0000 	  0.0063 	  0.0049 	 -0.0120 	 52.7556 	GProbe Mitte Grid 010x011 Grid 020x021 
  266  	  0.6706 	  0.0109 	  0.0027 	  0.0107 	  0.0000 	  1.0807 	 50.7666 	  0.0482 	  0.0000 	  0.0000 	  0.0000 	 -0.0130 	 52.5774 	GProbe Mitte Grid 010x011 Grid 020x021 
  268  	  0.7702 	  0.0025 	  0.0000 	  0.0000 	  0.0000 	  1.1207 	 50.5272 	  0.0585 	  0.0000 	  0.0011 	  0.0145 	 -0.0100 	 52.4846 	GProbe Mitte Grid 010x011 Grid 020x021 
  269  	  0.6934 	  0.0010 	  0.0041 	  0.0166 	  0.0175 	  1.0931 	 50.8783 	  0.0538 	  0.0000 	  0.0079 	  0.0000 	 -0.0070 	 52.7588 	GProbe Mitte Grid 010x011 Grid 020x021 
  271  	  0.7277 	  0.0004 	  0.0005 	  0.0032 	  0.0000 	  1.0715 	 50.9756 	  0.0437 	  0.0000 	  0.0000 	  0.0005 	 -0.0010 	 52.8221 	GProbe Mitte Grid 010x011 Grid 020x021 
  272  	  0.6682 	  0.0000 	  0.0000 	  0.0165 	  0.0114 	  1.0457 	 50.8921 	  0.0439 	  0.0012 	  0.0053 	  0.0000 	 -0.0090 	 52.6754 	GProbe Mitte Grid 010x011 Grid 020x021 
  274  	  0.8488 	  0.0001 	  0.0000 	  0.0137 	  0.0000 	  1.0884 	 50.6650 	  0.0491 	  0.0000 	  0.0000 	  0.0000 	  0.0028 	 52.6680 	GProbe Mitte Grid 010x011 Grid 020x021 
  275  	  0.8324 	  0.0000 	  0.0000 	  0.0000 	  0.0000 	  1.1019 	 50.5467 	  0.0514 	  0.0000 	  0.0000 	  0.0000 	  0.0048 	 52.5373 	GProbe Mitte Grid 010x011 Grid 020x021 
  277  	  0.7639 	  0.0090 	  0.0000 	  0.0000 	  0.0066 	  1.0421 	 50.8902 	  0.0373 	  0.0000 	  0.0026 	  0.0003 	 -0.0130 	 52.7389 	GProbe Mitte Grid 010x011 Grid 020x021 
  278  	  0.8233 	  0.0000 	  0.0020 	  0.0000 	  0.0000 	  1.0616 	 51.1196 	  0.0504 	  0.0000 	  0.0069 	  0.0000 	  0.0040 	 53.0679 	GProbe Mitte Grid 010x011 Grid 020x021 
  280  	  0.5844 	  0.0000 	  0.0000 	  0.0035 	  0.0000 	  1.0978 	 51.2212 	  0.0472 	  0.0000 	  0.0021 	  0.0000 	 -0.0000 	 52.9563 	GProbe Mitte Grid 010x011 Grid 020x021 
  281  	  0.6133 	  0.0000 	  0.0019 	  0.0000 	  0.0000 	  1.0796 	 51.2245 	  0.0361 	  0.0000 	  0.0000 	  0.0190 	 -0.0030 	 52.9714 	GProbe Mitte Grid 010x011 Grid 020x021 
  283  	  0.6838 	  0.0000 	  0.0000 	  0.0038 	  0.0000 	  1.0759 	 51.2360 	  0.0507 	  0.0033 	  0.0000 	  0.0049 	 -0.0000 	 53.0584 	GProbe Mitte Grid 010x011 Grid 020x021 
  284  	  0.6905 	  0.0034 	  0.0000 	  0.0066 	  0.0162 	  1.0547 	 51.0719 	  0.0421 	  0.0000 	  0.0095 	  0.0000 	 -0.0060 	 52.8890 	GProbe Mitte Grid 010x011 Grid 020x021 
  286  	  0.7760 	  0.0049 	  0.0021 	  0.0000 	  0.0000 	  1.0884 	 50.9551 	  0.0587 	  0.0000 	  0.0009 	  0.0000 	 -0.0000 	 52.8861 	GProbe Mitte Grid 010x011 Grid 020x021 
  287  	  1.3454 	  0.0000 	  0.0039 	  0.0009 	  0.0000 	  1.0635 	 50.7309 	  0.0546 	  0.0000 	  0.0101 	  0.0063 	 -0.0100 	 53.2056 	GProbe Mitte Grid 010x011 Grid 020x021 
  289  	  0.7089 	  0.0075 	  0.0000 	  0.0299 	  0.0000 	  1.0940 	 50.8401 	  0.0489 	  0.0000 	  0.0125 	  0.0000 	 -0.0030 	 52.7389 	GProbe Mitte Grid 010x011 Grid 020x021 
  290  	  0.6033 	  0.0066 	  0.0005 	  0.0054 	  0.0000 	  1.0657 	 51.1268 	  0.0500 	  0.0000 	  0.0000 	  0.0041 	 -0.0230 	 52.8394 	GProbe Mitte Grid 010x011 Grid 020x021 
  292  	  0.5703 	  0.0000 	  0.0000 	  0.0065 	  0.0000 	  1.0705 	 51.0471 	  0.0414 	  0.0031 	  0.0000 	  0.0000 	 -0.0030 	 52.7359 	GProbe Mitte Grid 010x011 Grid 020x021 
  293  	  0.6579 	  0.0000 	  0.0072 	  0.0000 	  0.0000 	  1.0939 	 51.3181 	  0.0544 	  0.0000 	  0.0002 	  0.0193 	  0.0129 	 53.1639 	GProbe Mitte Grid 010x011 Grid 020x021 
 
Minimum	  0.0000 	  0.0000 	  0.0000 	  0.0000 	  0.0000 	  0.0000 	  0.0000 	  0.0000 	  0.0000 	  0.0000 	  0.0000 	 -0.0310 	  0.0000  
Maximum	 53.5355 	  1.6366 	 16.7453 	  5.9334 	  0.1876 	  1.9728 	 54.1166 	  4.6527 	  5.1827 	  0.7616 	  0.0211 	  0.0355 	 93.1838  
Average	 26.3356 	  0.7794 	  8.0727 	  2.8488 	  0.0749 	  1.5032 	 27.8719 	  2.1450 	  2.4982 	  0.3523 	  0.0031 	 -0.0019 	 72.4832  
Sigma  	 25.9556 	  0.7909 	  8.2142 	  2.8962 	  0.0749 	  0.4171 	 24.4140 	  2.1464 	  2.5424 	  0.3531 	  0.0052 	  0.0125 	 19.6487  
"No. of data"   197 
 
K-raw (intensity ratio) 	      Group : 210830        	  Sample : 210830_0013_QNT  	 Page 	  1 	 
 
   No. 	      Si 	      Ti 	      Al 	      Fe 	      Mn 	      Mg 	      Ca 	      Na 	      K  	      P  	      Cr 	      Ni 	  Total  	Comment  
    1  	101.9140 	  3.9475 	 16.3990 	  6.4260 	  0.3623 	  1.9190 	  7.0960 	 34.3370 	 21.3100 	  1.9536 	  0.0054 	 -0.0120 	195.6578 	GProbe Mitte Grid 010x011 Grid 020x021 
    2  	101.8900 	  3.8658 	 16.4920 	  6.4500 	  0.3081 	  1.9450 	  7.1500 	 34.0560 	 21.2190 	  1.8839 	  0.0000 	  0.0062 	195.2659 	GProbe Mitte Grid 010x011 Grid 020x021 
    4  	101.6730 	  3.9624 	 16.5030 	  6.4580 	  0.3446 	  1.9420 	  7.1350 	 34.3740 	 21.2080 	  2.0725 	  0.0223 	  0.0145 	195.7092 	GProbe Mitte Grid 010x011 Grid 020x021 
    5  	101.9760 	  3.9376 	 16.4730 	  6.4360 	  0.3372 	  1.9120 	  7.1250 	 33.6810 	 21.2230 	  1.9761 	  0.0000 	 -0.0070 	195.0699 	GProbe Mitte Grid 010x011 Grid 020x021 
    7  	102.1080 	  3.9574 	 16.5560 	  6.5200 	  0.3292 	  1.9290 	  7.1960 	 33.8070 	 21.2490 	  1.8933 	  0.0328 	 -0.0040 	195.5736 	GProbe Mitte Grid 010x011 Grid 020x021 
    8  	102.4090 	  4.0305 	 16.5020 	  6.5760 	  0.3323 	  1.9530 	  7.2190 	 33.9060 	 21.2740 	  2.0333 	  0.0147 	  0.0013 	196.2510 	GProbe Mitte Grid 010x011 Grid 020x021 
   10  	101.7370 	  3.9878 	 16.5190 	  6.5410 	  0.3638 	  1.9250 	  7.2110 	 33.9540 	 21.0730 	  1.8592 	  0.0000 	 -0.0090 	195.1617 	GProbe Mitte Grid 010x011 Grid 020x021 
   11  	102.0720 	  3.9746 	 16.5330 	  6.4580 	  0.3386 	  1.9310 	  7.1850 	 33.7850 	 21.0850 	  1.9817 	  0.0000 	 -0.0030 	195.3408 	GProbe Mitte Grid 010x011 Grid 020x021 
   13  	101.4600 	  3.9801 	 16.5130 	  6.5040 	  0.3749 	  1.9350 	  7.1540 	 33.8280 	 21.2410 	  1.9856 	  0.0090 	 -0.0040 	194.9806 	GProbe Mitte Grid 010x011 Grid 020x021 
   14  	101.9040 	  3.9699 	 16.4930 	  6.4960 	  0.3594 	  1.9380 	  7.1540 	 34.0560 	 21.0990 	  1.9104 	  0.0000 	 -0.0260 	195.3537 	GProbe Mitte Grid 010x011 Grid 020x021 
   16  	102.0930 	  4.0095 	 16.5610 	  6.4100 	  0.3590 	  1.9380 	  7.2170 	 34.0620 	 21.2310 	  1.9479 	  0.0281 	 -0.0250 	195.8315 	GProbe Mitte Grid 010x011 Grid 020x021 
   17  	102.6090 	  3.9704 	 16.5490 	  6.4900 	  0.4395 	  1.9460 	  7.1380 	 33.8400 	 21.2760 	  2.0040 	  0.0000 	  0.0010 	196.2629 	GProbe Mitte Grid 010x011 Grid 020x021 
   19  	102.2910 	  3.8776 	 16.5370 	  6.5340 	  0.4269 	  1.9350 	  7.1690 	 34.2270 	 21.1040 	  1.9142 	  0.0000 	 -0.0080 	196.0077 	GProbe Mitte Grid 010x011 Grid 020x021 
   20  	101.9260 	  4.0083 	 16.4530 	  6.6000 	  0.3475 	  1.8610 	  7.2670 	 33.6420 	 21.1610 	  1.9611 	  0.0000 	  0.0064 	195.2332 	GProbe Mitte Grid 010x011 Grid 020x021 
   22  	102.6610 	  3.9387 	 16.5640 	  6.4780 	  0.3756 	  1.9400 	  7.2280 	 33.8880 	 21.2970 	  1.9846 	  0.0165 	 -0.0040 	196.3673 	GProbe Mitte Grid 010x011 Grid 020x021 
   23  	102.6390 	  3.9776 	 16.5140 	  6.5620 	  0.3152 	  1.9230 	  7.1940 	 34.0990 	 21.1260 	  1.9283 	  0.0000 	  0.0159 	196.2939 	GProbe Mitte Grid 010x011 Grid 020x021 
   25  	102.4480 	  3.9778 	 16.4800 	  6.5050 	  0.3771 	  1.9310 	  7.1640 	 33.1900 	 21.3390 	  1.9902 	  0.0000 	  0.0018 	195.4039 	GProbe Mitte Grid 010x011 Grid 020x021 
   26  	102.1840 	  3.9870 	 16.5090 	  6.3910 	  0.3442 	  1.9160 	  7.2390 	 33.8500 	 21.1760 	  2.0117 	  0.0104 	 -0.0110 	195.6073 	GProbe Mitte Grid 010x011 Grid 020x021 
   28  	102.2720 	  3.9592 	 16.5720 	  6.4750 	  0.3168 	  1.8820 	  7.0930 	 33.7860 	 21.3620 	  1.8531 	  0.0000 	 -0.0110 	195.5601 	GProbe Mitte Grid 010x011 Grid 020x021 
   29  	102.4560 	  3.9727 	 16.5800 	  6.4870 	  0.2780 	  1.9210 	  7.2420 	 33.7950 	 21.2270 	  1.9066 	  0.0000 	  0.0087 	195.8740 	GProbe Mitte Grid 010x011 Grid 020x021 
   31  	102.2650 	  3.9712 	 16.4810 	  6.5580 	  0.3482 	  1.9070 	  7.1720 	 33.5960 	 21.1720 	  2.0404 	  0.0000 	 -0.0150 	195.4958 	GProbe Mitte Grid 010x011 Grid 020x021 
   32  	102.1150 	  3.9953 	 16.5590 	  6.4350 	  0.3944 	  1.9300 	  7.2230 	 34.1530 	 21.0650 	  1.9422 	  0.0000 	  0.0092 	195.8210 	GProbe Mitte Grid 010x011 Grid 020x021 
   34  	101.7450 	  3.9825 	 16.5380 	  6.4830 	  0.3660 	  1.9120 	  7.1440 	 33.8320 	 21.0720 	  2.0367 	  0.0021 	  0.0194 	195.1327 	GProbe Mitte Grid 010x011 Grid 020x021 
   35  	101.9380 	  3.9299 	 16.5390 	  6.5980 	  0.3460 	  1.9150 	  7.1370 	 33.6310 	 21.1600 	  1.9577 	  0.0000 	  0.0089 	195.1604 	GProbe Mitte Grid 010x011 Grid 020x021 
   37  	102.8350 	  4.0580 	 16.6400 	  6.5270 	  0.3344 	  1.9470 	  7.3150 	 33.9080 	 21.2330 	  1.9193 	  0.0000 	  0.0160 	196.7327 	GProbe Mitte Grid 010x011 Grid 020x021 
   38  	102.1180 	  3.9630 	 16.5750 	  6.5370 	  0.3189 	  1.9390 	  7.1890 	 34.0360 	 21.1620 	  1.9328 	  0.0429 	  0.0086 	195.8221 	GProbe Mitte Grid 010x011 Grid 020x021 
   40  	102.1150 	  3.9136 	 16.5630 	  6.4510 	  0.4193 	  1.9230 	  7.1670 	 33.8760 	 21.3500 	  1.9009 	  0.0053 	 -0.0130 	195.6711 	GProbe Mitte Grid 010x011 Grid 020x021 
   41  	102.0100 	  3.9931 	 16.5950 	  6.5690 	  0.3488 	  1.8740 	  7.2220 	 33.5020 	 21.3370 	  1.9532 	  0.0320 	 -0.0090 	195.4270 	GProbe Mitte Grid 010x011 Grid 020x021 
   43  	102.0690 	  3.9336 	 16.5800 	  6.5210 	  0.3355 	  1.9530 	  7.2380 	 33.4960 	 20.9850 	  1.9749 	  0.0006 	  0.0157 	195.1023 	GProbe Mitte Grid 010x011 Grid 020x021 
   44  	102.5060 	  3.9754 	 16.5490 	  6.5070 	  0.3396 	  1.9090 	  7.1490 	 33.2950 	 21.3390 	  1.8820 	  0.0000 	 -0.0190 	195.4320 	GProbe Mitte Grid 010x011 Grid 020x021 
   46  	102.4520 	  3.9788 	 16.5520 	  6.5730 	  0.3607 	  1.9480 	  7.1750 	 33.6660 	 21.3490 	  2.0128 	  0.0109 	 -0.0110 	196.0672 	GProbe Mitte Grid 010x011 Grid 020x021 
   47  	103.0520 	  4.0204 	 16.7470 	  6.5860 	  0.3660 	  1.9470 	  7.3360 	 33.6550 	 21.3750 	  1.9853 	  0.0000 	 -0.0100 	197.0597 	GProbe Mitte Grid 010x011 Grid 020x021 
   49  	102.1780 	  4.0235 	 16.6890 	  6.5860 	  0.3341 	  1.9730 	  7.2870 	 33.4100 	 21.2540 	  1.9612 	  0.0088 	 -0.0010 	195.7036 	GProbe Mitte Grid 010x011 Grid 020x021 
   50  	101.0270 	  3.9142 	 16.3150 	  6.6010 	  0.3185 	  1.9040 	  7.1690 	 37.3410 	 21.2960 	  1.8889 	  0.0465 	  0.0015 	197.8226 	GProbe Mitte Grid 010x011 Grid 020x021 
   52  	100.6670 	  3.8586 	 16.2430 	  6.3620 	  0.3680 	  1.8780 	  7.1760 	 36.4720 	 21.2150 	  1.9996 	  0.0000 	  0.0131 	196.2523 	GProbe Mitte Grid 010x011 Grid 020x021 
   53  	100.2330 	  3.9105 	 16.2370 	  6.4050 	  0.3481 	  1.8700 	  7.1990 	 36.7620 	 21.2630 	  1.9829 	  0.0000 	 -0.0150 	196.1954 	GProbe Mitte Grid 010x011 Grid 020x021 
   55  	100.2150 	  3.8293 	 16.2240 	  6.3760 	  0.3060 	  1.9000 	  7.1260 	 37.0610 	 21.1140 	  1.9006 	  0.0000 	 -0.0060 	196.0459 	GProbe Mitte Grid 010x011 Grid 020x021 
