Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id
[5205],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),WEST AFRICAN CRATON / SIERRA LEONE GREENSTONE BELTS / SULA MOUNTAINS GREENSTONE BELT / SONFON FORMATION,,8.5,9,-11.5,-11.75,SUBAERIAL,,,s 329 [5205],"BASALT, KOMATIITIC [5205]",,,NEO [5205],ARCHEAN [5205],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5205] ,234699.1135,3536.106,,55783.0554,,,,85114.35,70040.6,99561.904,1394.0244,,581.105,7863.6842,349.1368,30700,,,,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1892,,,70,796,20,71,12,,,,,0,39,17,41,0,,,,,,,,,,,,,38,4.51,10.41,0,6.41,1.75,0.64,2.39,,2.84,0.71,1.77,,1.57,0.25,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,184958
[5205],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),WEST AFRICAN CRATON / SIERRA LEONE GREENSTONE BELTS / SULA MOUNTAINS GREENSTONE BELT / SONFON FORMATION,,8.5,9,-11.5,-11.75,SUBAERIAL,,,s 325 [5205],"BASALT, KOMATIITIC [5205]",,,NEO [5205],ARCHEAN [5205],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5205] ,236475.3665,3356.304,,49643.7438,,,,83792.94,75257.91,99742.816,1471.4702,,747.135,9273.2125,349.1368,32400,,,,2800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1803,,,61,786,16,78,9,,,,,2,37,21,39,0,,,,,,,,,,,,,34,5.82,6.94,0,5.34,1.19,0.73,2.96,,2.59,0.71,1.79,,1.42,0.28,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,184959
[5205],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),WEST AFRICAN CRATON / SIERRA LEONE GREENSTONE BELTS / SULA MOUNTAINS GREENSTONE BELT / SONFON FORMATION,,8.5,9,-11.5,-11.75,SUBAERIAL,,,s 321 [5205],"BASALT, KOMATIITIC [5205]",,,NEO [5205],ARCHEAN [5205],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5205] ,237036.2885,3476.172,,50278.845,,,,82782.45,72827.93,100466.464,1394.0244,,581.105,10311.8123,261.8526,27700,,,,3100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1874,,,62,799,9,70,11,,,,,2,52,15,39,0,,,,,,,,,,,,,27,3.03,6.38,0,4.26,1.2,0.6,2.15,,2.39,0.54,1.41,,1.28,0.21,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,184960
[5205],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),WEST AFRICAN CRATON / SIERRA LEONE GREENSTONE BELTS / SULA MOUNTAINS GREENSTONE BELT / SONFON FORMATION,,8.5,9,-11.5,-11.75,SUBAERIAL,,,s 319 [5205],"BASALT, KOMATIITIC [5205]",,,NEO [5205],ARCHEAN [5205],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5205] ,236568.8535,3596.04,,53030.9502,,,,83015.64,74257.33,96546.704,1471.4702,,913.165,9569.9553,436.421,28600,,,,6100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1788,,,60,723,35,71,9,,,,,3,44,16,40,0,,,,,,,,,,,,,33,2.73,6.18,0,3.94,1.15,0.6,2.22,,2.42,0.55,1.49,,1.39,0.23,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,184961
[5205],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),WEST AFRICAN CRATON / SIERRA LEONE GREENSTONE BELTS / SULA MOUNTAINS GREENSTONE BELT / SONFON FORMATION,,8.5,9,-11.5,-11.75,SUBAERIAL,,,s 344 [5205],BASALT [5205],,,NEO [5205],ARCHEAN [5205],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5205] ,236475.3665,2756.964,,65838.8244,,,,71744.79,72827.93,56746.064,1394.0244,,830.15,18991.5392,305.4947,9700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,628,,,46,208,16,65,9,,,,,0,68,16,28,0,,,,,,,,,,,,,25,1.38,4.4,0,2.85,1.12,0.54,1.96,,2.36,0.65,1.54,,1.42,0.28,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,184962
[5205],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),WEST AFRICAN CRATON / SIERRA LEONE GREENSTONE BELTS / SULA MOUNTAINS GREENSTONE BELT / SONFON FORMATION,,8.5,9,-11.5,-11.75,SUBAERIAL,,,s 354 [5205],BASALT [5205],,,NEO [5205],ARCHEAN [5205],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5205] ,238298.363,4015.578,,74571.4659,,,,78740.49,77616.42,45228,1394.0244,,2075.375,11721.3406,305.4947,18800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232,,,41,86,43,80,12,,,,,4,96,21,57,2,,,,,,,,,,,,,68,4.15,10.83,0,7.1,2.22,0.83,2.89,,3.45,0.87,2.12,,2.13,0.37,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,184963
[5205],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),WEST AFRICAN CRATON / SIERRA LEONE GREENSTONE BELTS / SULA MOUNTAINS GREENSTONE BELT / SONFON FORMATION,,8.5,9,-11.5,-11.75,SUBAERIAL,,,s 356 [5205],BASALT [5205],,,NEO [5205],ARCHEAN [5205],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5205] ,234371.909,3176.502,,89443.419,,,,64049.52,80761.1,45589.824,1239.1328,,996.18,10385.998,174.5684,12000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,478,,,41,114,61,67,12,,,,,7,116,15,42,1,,,,,,,,,,,,,48,3.13,8.5,0,5.12,1.53,0.65,2.22,,2.37,0.63,1.53,,1.52,0.3,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,184964
[5205],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),WEST AFRICAN CRATON / SIERRA LEONE GREENSTONE BELTS / SULA MOUNTAINS GREENSTONE BELT / SONFON FORMATION,,8.5,9,-11.5,-11.75,SUBAERIAL,,,s 386 [5205],BASALT [5205],,,NEO [5205],ARCHEAN [5205],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5205] ,234512.1395,4195.38,,73512.9639,,,,79828.71,78259.65,39860.944,1394.0244,,2822.51,12611.569,305.4947,8500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223,,,44,81,76,72,13,,,,,16,109,22,54,0,,,,,,,,,,,,,85,3.69,7.79,0,7.07,2.17,0.74,2.42,,3.62,0.86,1.96,,2.2,0.33,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,184965
[5205],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),WEST AFRICAN CRATON / SIERRA LEONE GREENSTONE BELTS / SULA MOUNTAINS GREENSTONE BELT / SONFON FORMATION,,8.5,9,-11.5,-11.75,SUBAERIAL,,,s 374 [5205],BASALT [5205],,,NEO [5205],ARCHEAN [5205],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5205] ,240635.538,8151.024,,71343.0348,,,,101126.73,66967.39,30574.128,1703.8076,,1494.27,15356.4399,654.6315,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,47,82,117,114,17,,,,,4,134,43,116,5,,,,,,,,,,,,,101,6.33,16.5,2.19,11.25,3.48,1.22,4.36,,4.99,1.22,2.91,,2.72,0.42,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,184966
[5205],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),WEST AFRICAN CRATON / SIERRA LEONE GREENSTONE BELTS / SULA MOUNTAINS GREENSTONE BELT / SONFON FORMATION,,8.5,9,-11.5,-11.75,SUBAERIAL,,,s 391 [5205],BASALT [5205],,,NEO [5205],ARCHEAN [5205],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5205] ,230866.1465,6712.608,,83198.2572,,,,101904.03,77473.48,38232.736,1626.3618,,1411.255,14169.4687,480.0631,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,,,46,141,93,120,15,,,,,5,112,25,76,3,,,,,,,,,,,,,48,4.36,10.92,0,7.62,2.52,1.09,3.49,,3.84,1,2.42,,2.35,0.47,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,184967
[5205],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),WEST AFRICAN CRATON / SIERRA LEONE GREENSTONE BELTS / SULA MOUNTAINS GREENSTONE BELT / SONFON FORMATION,,8.5,9,-11.5,-11.75,SUBAERIAL,,,s 377 [5205],BASALT [5205],,,NEO [5205],ARCHEAN [5205],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5205] ,249703.777,9469.572,,70602.0834,,,,117916.41,44668.75,20141.536,1936.145,,1992.36,23961.9811,1221.9788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,41,27,45,138,15,,,,,7,135,47,129,4,,,,,,,,,,,,,151,7.72,19.99,2.64,12.54,3.91,1.46,5.3,,5.72,1.42,3.68,,3.42,0.56,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,184968
[5205],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),WEST AFRICAN CRATON / SIERRA LEONE GREENSTONE BELTS / SULA MOUNTAINS GREENSTONE BELT / SONFON FORMATION,,8.5,9,-11.5,-11.75,SUBAERIAL,,,s 370 [5205],BASALT [5205],,,NEO [5205],ARCHEAN [5205],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5205] ,253723.718,8091.09,,71554.7352,,,,99572.13,60463.62,28885.616,1548.916,,1743.315,17211.0824,698.2736,8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,41,44,18,108,17,,,,,3,489,45,133,5,,,,,,,,,,,,,89,8.7,22.37,2.9,15.29,4.51,1.64,5.65,,6.8,1.69,4.16,,3.94,0.67,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,184969
[8624],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),WEST AFRICAN CRATON / SIERRA LEONE GREENSTONE BELTS / NIMINI GREENSTONE BELT,,8.5,8.5,-11.13,-11.13,SUBAERIAL,,,s 2 [8624],AMPHIBOLITE [8624],2800000000 [8624],2800000000 [8624],NEO [8624],ARCHEAN [8624],,,,VERY FINE-GRAINED [8624] ,METAMORPHIC ROCK,,,,,WHOLE_ROCK [8624] ,235119.805,6592.74,,65627.124,,,,93742.38,79331.7,48243.2,1548.916,,1660.3,14837.14,436.421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259,,,,121,,85,,,,,,1,102,24,74,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247013
[8624],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),WEST AFRICAN CRATON / SIERRA LEONE GREENSTONE BELTS / NIMINI GREENSTONE BELT,,8.5,8.5,-11.13,-11.13,SUBAERIAL,,,s 6 [8624],AMPHIBOLITE [8624],2800000000 [8624],2800000000 [8624],NEO [8624],ARCHEAN [8624],,,,MEDIUM-GRAINED [8624] ,METAMORPHIC ROCK,,,,,WHOLE_ROCK [8624] ,238859.285,10788.12,,62980.869,,,,104235.93,71470,34373.28,1548.916,,2490.45,18546.425,872.842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,,,,73,,112,,,,,,1,139,31,111,,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247014
[8624],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),WEST AFRICAN CRATON / SIERRA LEONE GREENSTONE BELTS / NIMINI GREENSTONE BELT,,8.5,8.5,-11.13,-11.13,SUBAERIAL,,,s 8 [8624],AMPHIBOLITE [8624],2800000000 [8624],2800000000 [8624],NEO [8624],ARCHEAN [8624],,,,MEDIUM-GRAINED [8624] ,METAMORPHIC ROCK,,,,,WHOLE_ROCK [8624] ,226238.54,4794.72,,68273.379,,,,84647.97,82190.5,55479.68,1548.916,,830.15,17062.711,436.421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,,,,178,,81,,,,,,0,115,21,56,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247015
[8624],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),WEST AFRICAN CRATON / SIERRA LEONE GREENSTONE BELTS / NIMINI GREENSTONE BELT,,8.5,8.5,-11.13,-11.13,SUBAERIAL,,,s 13 [8624],AMPHIBOLITE [8624],2800000000 [8624],2800000000 [8624],NEO [8624],ARCHEAN [8624],,,,MEDIUM-GRAINED [8624] ,METAMORPHIC ROCK,,,,,WHOLE_ROCK [8624] ,244935.94,2996.7,,74095.14,,,,72755.28,66467.1,47640.16,1548.916,,10791.95,22255.71,436.421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459,,,,125,,80,,,,,,105,188,18,78,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247016
