Titel,ignore,Kapitel,Unterkapitel,Schlagworte,Laufzeit,Lecture ipynb,Exercise ipynb,Solution ipynb,Beschreibung,Vimeo,Youtube
regex - XRDML file parser,,5,3,"list comprehension, string operation: .split() , re: .compile(), .findall()",08:41,none,DataScience_regex_parser_exercise.ipynb,DataScience_regex_parser_solution.ipynb,"Nun haben wir kennengelernt, wie man regex in einem Python Code anwenden kann. Für XRD, Röntgen(pulver)diffraktometrie, Messungen hat sich ein standardisiertes Dateiformat etabliert, XRDML. Dies ist ein XML-konformes Format mit verschachtelten key-value Paaren, ähnlich einem dictionary in Python. Zum Einlesen von XML Dateien gibt es eigentlich ein Python Modul, welches den Dateiinhalt in ein dict() umwandelt. Regex eignet sich jedoch auch sehr gut um die benötigten Informationen aus diesen Dateien zu extrahieren.",,https://hessenbox-a10.rz.uni-frankfurt.de/dl/fi5STi8axhRYHzenusYWLW/regex_2.mov
Basics- Welche online-Datenbanken u.ä. gibt es? ,,6,1,none,04:39,none,none,none,"Um 2000 herum begannen ein paar erste Initiativen damit mineralogische Datenbanken aufzubauen. Zu den Pionieren gehören sicherlich die GeoROC Datenbank am Max-Planck Institut für Geochemie in Mainz, die EarthChem Datenbank am Lamont-Doherty Earth Observatory, sowie die MetBase, welche von einem privaten Enthusiasten aufgebaut wurde. Die ersten beiden Datenbanken enthalten primär Gesteinsdaten, sind also geochemisch orientiert, wohingegen die MetBase eine kosmoschemische Datenbank mit Meteoriten-Daten ist. Zusätzlich gibt es Konsortien (NFDI4Earth, Research Data Alliance, European Open Science Cloud (EOSC), die selbst keine Datenbanken betreiben, sondern Standards, Schnittstellen, etc. definieren, und einen zentralen Zugangspunkt zu den verschiedenen Datenbanken anbieten. Das gibt es außerdem nicht nur für Daten, sondern auch für Labore (EPOS) oder die Lehre.",https://vimeo.com/613407782,https://youtu.be/JZ_CC1jo5jk
Basics- Dictionary – another type of list ,,6,2,"{ }  (-> Dictionary brackets), pd.DataFrame() ",12:36,Basics_Dictionary_another_type_of_list.ipynb,Exercise_Basics_Dictionary_another_type_of_list.ipynb,Solution_Basics_Dictionary_another_type_of_list.ipynb,"Daten, die man sich aus online-Datenbanken zieht sind häufig in Listen des Typs Dictionary (z.B. json Formate). Dictionary sind schnell zugänglich und leicht verständlich nachdem wir nun Pandas DataFrames kenne – und können auch direkt in diese umformatiert werden. ",https://vimeo.com/613444692,https://youtu.be/WXv79tpor5s
Command- API requests ,,6,3,"requests,  .get(), json, str() ",16:32,Command_API_requests.ipynb,Exercise_Command_API_requests.ipynb,Solution_Command_API_requests.ipynb,"Was ist eine API? Ein Application Programming Interface. Das sagt kaum mehr. Es ist eine Schnittstelle. Hilft vielleicht etwas. Angenommen, wir wollen die aktuellen Wetterdaten einer Stadt wissen. Dann können wir eine Anfrage (request) an einen Server stellen, und bekommen die Wetterdaten geliefert. Hört sich einfach an – und ist es tatsächlich auch. In dieser Einheit lernen wir also, wie wir sehr einfach Daten von einem Server in unser Jupyter Notebook laden, und dort darstellen, weiter verarbeiten, visualisieren, etc. können. ",https://vimeo.com/613622392,https://youtu.be/x571C3rJJM0
"Basics- Manipulating row, columns, filters (again), etc. using pandas ",,6,4,"~filter, .isin(), .str.contains(), .index, .value_count(), .rename, export, .to_csv, .to_excel ",13:55,none,none,none,"In dieser zweiten Einheit zu Pandas lernen wir weitere Möglichkeiten um Daten in pandas dataframes zu manipulieren, zählen, exportieren, etc. Es macht jedoch keinen Sinn, in diesem Kurs den vollständigen Umfang von Pandas – oder jeglicher anderer Python-Bibliothek – darzustellen. Vielmehr sucht man sich je nach zu lösender Fragestellung die nötigen Befehle aus dem persönlichen Fundus plus der entsprechenden Recherche in den einschlägigen Ressourcen aus dem Internet zusammen. ",https://vimeo.com/644874401,https://youtu.be/i2fpkcdhUlU
Program- Analysing the Eu-anomaly ,,6,5,none,16:40,Program_Analysing_the_Eu_anomaly.ipynb,Exercise_Program_Analysing_the_Eu_anomaly.ipynb,Solution_Program_Analysing_the_Eu_anomaly.ipynb,"Zum Abschluss der Einheit wollen wir ein konkretes Beispiel für Data Science anschauen. Die Eu- Anomalie kennen vermutlich alle – sonst schnell mal nachschauen, was das ist. Wie sie berechnet wird, wird jedoch im Video erklärt. Am Ende werden wir ein sehr kurzes Programm haben, mit dem sich (i) die Eu-Anomalie analysieren lässt, und das (ii) sehr flexibel ist, d.h. mit dem wir nun prinzipiell die Eu-Anomalie jeder beliebigen Datenbank analysieren können. ",https://vimeo.com/615832152,https://youtu.be/B_ZqQkq8pjY
Program-  Populate drop-down menus dynamically ,,7,1,"os, listdir(), .endswith() ",14:45,Program_Populate_drop_down_menus_dynamically.ipynb,Exercise_Program_Populate_drop_down_menus_dynamically.ipynb,Solution_Program_Populate_drop_down_menus_dynamically.ipynb,"Interaktive Elemente werden dann besonders attraktiv, wenn die darzustellenden Daten, bzw. Dateien ähnlich sind. Dabei genügt es schon, wenn die Kategorienamen in Dateien dieseleben sind, deren Anordnung in den Dateien speilt keine Rolle. Dann wird es möglich, die Inhalte der bspw. Drop-Down Menüs automatisch befüllen zu lassen, um damit einen sehr viel höheren Grad der Flexibilität und dauerhaften Verwendbarkeit des Jupyter Notebooks zu erreichen. Prinzipiell wird es damit auch möglich Notebooks zu schreiben, die man immer verwendet – man passt dann nicht mehr das Notebook an, sondern einfach die darzustellenden Daten. Die Anforderungen dafür sind nicht sonderlich hoch, und es genügt dann, den Datensatz in den entsprechenden Ordner zu kopieren.",https://vimeo.com/645765991,https://youtu.be/m4y8YefNfNo
Program- Advanced matplotlib plotting ,,7,2,"fig, ax, subplots(), .subplots_adjust(hspace = 0, wspace = 0), sharex, .set(xlabel = ), .xaxis.set_ticks_position(›both‹), .minorticks_on(), .tick_params(which = ›major‹, length = 7, width = 1, direction = ›in‹), .savefig()",18:30,Program_Advanced_matplotlib_plotting.ipynb,Exercise_Program_Advanced_matplotlib_plotting.ipynb,Solution_Program_Advanced_matplotlib_plotting.ipynb,"Jupyter Notebooks, bzw. Python können sehr gut verwendet werden um sehr gute, das bedeutet, sehr übersichtlich, aussagekräftige, und dabei auch komplexe Plots zu erstellen. Es ist praktisch alles möglich – wie meist bei Programmierung –, die Frage ist daher selten ob etwas geht, sondern nur wie das Gewünschte geht. Ich zeige hier ein paar wesentliche Möglichkeiten, welche häufig und typischer für die Mineralogie sind, und verweise sonst auf die tatsächlich diese Woche überarbeitete Dokumentationsseite von https://matplotlib.org, welche mit der Überarbeitung deutlich übersichtlicher und hilfreicher geworden ist (sieht also anders aus als im eben erst erstellten Video). Es lohnt sich schon deshalb, die Seite einmal zu besuchen, um zu sehen, was alles an Diagrammen überhaupt möglich ist. Außerdem zeige ich den Befehl, wie erstellte Abbildungen gespeichert werden können. ",https://vimeo.com/646069328,https://youtu.be/4IeEIDyDsgw
Program- Plotting geolocations using geopandas ,,7,3,"geopandas, .read_file(), .plot(), .plot(ax = axis) .GeoDataFrame(), geometry, .points_from_xy() ",10:41,Program_Plotting_geolocations_using_geopandas.ipynb,Exercise_Program_Plotting_geolocations_using_geopandas.ipynb,Solution_Program_Plotting_geolocations_using_geopandas.ipynb,"Für uns ist es außerdem besonders interessant, Daten auf Karten darzustellen. Das gelingt mit dem ›geopandas‹ Package. Das ist nicht Teil von Anaconda, und muss zunächst installiert werden. Das gelingt auf dem Mac über das Terminal, und bei Windows über Suche nach ›anaconda prompt‹ und dann den Befehl ›conda install -c conda-forge geopandas‹. Ansonsten sollte es über die Anleitung auf https://geopandas.org gelingen. Ich zeige eine nur sehr grundlegende Möglichkeit, wie Daten dargestellt werden können. Es gibt tatsächlich auch hier eine unglaublich  breite Palette an Möglichkeiten, Daten auf Karten darzustellen. Zum Beispiel auch auf detaillierten, physischen, geographischen, etc. Karten, welche direkte interaktive Zoom- Möglichkeiten bieten und vieles mehr. Wenn das interessant ist, empfehle ich z.B. das sehr gute ›plotly‹ Package – welches wir z.B. auch auf metbase.org verwenden – es gibt natürlich noch sehr viel mehr und andere.",https://vimeo.com/646136818,https://youtu.be/79EtaHORhGk
"Task- Building a complex, interactive figure ",,7,4,"dir(), .set_figheight(), .subplot2grid(shape = (3, 3), loc = (0, 0), colspan = 2), .split(), .tight_layout()",11:26,none,Task_Building_a_complex_interactive_figure.ipynb,Solution_Task_Building_a_complex_interactive_figure.ipynb,"Zum Abschluss des Themas über die Möglichkeiten von Diagrammen und interaktiver Elemente soll vieles davon in einem komplexen, interaktiven Plot zusammengefasst werden. Das soll in einer Challenge erfolgen. D.h., ich stelle alle Elemente vor, um diesen komplexen, interaktiven Plot umzusetzen, bzw. zeige ich den Ansatz, wie das gehen könnte. Das Ergebnis soll dann in etwa so in der Abbildung aussehen. ",https://vimeo.com/647184941,https://youtu.be/U1KDPsTmvgw
Basics- Function plotting with the numpy package ,,8,1,"numpy, .linspace(), .sin(), .log(), .power(), warnings ",09:45,Basics_Function_plotting_with_the_numpy_package.ipynb,Exercise_Basics_Function_plotting_with_the_numpy_package.ipynb,Solution_Basics_Function_plotting_with_the_numpy_package.ipynb,"Bislang haben wir Daten aus Datenbanken oder Datensätzen in Diagrammen dargestellt und ausgewertet. Letztlich sehen wir bei einer solchen Daten-Darstellung immer den letzten Zustand eines bestimmten Prozesses – oder, noch präziser formuliert: ein Prozess wird zu einem bestimmten Zeitpunkt eingefroren, und die Daten beschreiben diesen eingefrorenen Zustand. Ganz direkt trifft das bei einem Magmatit zu, der ja tatsächlich nichts anderes als gefrorenes Magma ist. Unser Ziel ist es, anhand der Daten des eingefrorenen Prozesses den Prozess des Magmas davor zu rekonstruieren. Das machen wir anhand von Modellen wie z.B. fraktionierte Kristallisation, aber auch Datierung, mit Hilfe einer eingefrorenen Isotopenzusammensetzung. Ein Prozess wird mit einer Gleichung beschrieben, welche über eine Funktion in einem Diagramm dargestellt wird. Dazu schauen wir uns an, wie man eine Funktion in Jupyter Notebooks darstellt. ",https://vimeo.com/648675256,https://youtu.be/aCY6PWt_TTU
Program- Rayleigh isotope fractionation ,,8,2,.axhline() ,15:08,Program_Rayleigh_isotope_fractionation.ipynb,Exercise_Program_Rayleigh_isotope_fractionation.ipynb,Solution_Program_Rayleigh_isotope_fractionation.ipynb,"Nun wollen wir Funktionen verwenden, um damit die Rayleigh-Fraktionierung zu modellieren. ",https://vimeo.com/648742504,https://youtu.be/XAO-1sScj6c
Command- Linear Regression ,,8,3,"scipy, .stats, linregress(), ",09:02,Command_Linear_Regression.ipynb,Exercise_Command_Linear_Regression.ipynb,Solution_Command_Linear_Regression.ipynb,"Wir haben die Daten-Darstellung kennen gelernt, die Modellierung, auch Einblicke in die Daten- Analyse erhalten – und natürlich gibt es ausgiebig Packages zu etwas statistischen Analysen. Beispielhaft möchte ich die lineare Regression zeigen, die wir sehr häufig in der analytischen Mineralogie verwenden. Von dort ausgehend lassen sich leicht Packages und Methoden für die eigenen Problemstellungen finden. Und letztlich sind Methoden wie die lineare Regression nichts anderes als Funktionen, welche nicht mehr programmiert werden müssen, sondern schon vorgefertigt in Packages heraus verwendet werden können. ",https://vimeo.com/649193240,https://youtu.be/hlwX59_7IG8
Command- Plot data points with error bars ,,8,4,.errorbar() ,06:34,Command_Plot_data_points_with_error_bars.ipynb,Exercise_Command_Plot_data_points_with_error_bars.ipynb,Solution_Command_Plot_data_points_with_error_bars.ipynb,"Einer der wichtigsten Parameter der Analytik sind deren Fehler und Standardabweichung in allen Variation (intern, extern, long-term, etc.). Natürlich lassen sich Fehler einfach und mit hoher Granularität in Abbildungen darstellen. Auch Fehler-Umhüllende sind einfach darstellbar, auf die ich einmal nicht eingehen werde, sondern nur darauf, Fehlerbalken den Datenpunkten einfach hinzuzufügen. ",https://vimeo.com/649198160,https://youtu.be/1IIOp9qp56U
Erstellen eines GitHub Accounts,yes,9,1,"GitHub, Account",05:13,none,none,none,"GitHub ist vermutlich die weitesten verbreitete Plattform zum Teilen offener Software (›open source‹). Vom kleinen Entwickler bis hin zu großen Firmen wie Apple, Microsoft, Facebook, etc. – offener Quellcode wird bei GitHub abgelegt. GitHub war so erfolgreich, dass es vor einiger Zeit von Microsoft übernommen wurde. Wir werden GitHub verwenden, um mit Streamlit arbeiten zu können.",https://vimeo.com/776918333,https://youtu.be/zfnPtcbdLug
Erstellen eines Streamlit Accounts,yes,9,2,"Streamlit, Account",05:18,none,none,none,"Streamlit ist ein so genanntes ›Framework‹. Konkret ist Streamlit ein Python Framework, das heißt, mit Hilfe von Streamlit können mit Python Web-Applikationen erstellt werden. Framework bedeutet, dass mit Hilfe einfacher Python-Befehle komplexe, interaktive Web-Elemente erstellt werden können. Die Streamlit Webseite bietet außerdem umfangreiche und sehr einfache und komfortable Hilfeseiten. Zunächst brauchen wir jedoch einen Streamlit Account.",https://vimeo.com/776919452,https://youtu.be/tcn1-MwYkgk
Streamlit Apps mit stlite sharing,yes,9,3,"Streamlit, Sliteshare",11:31,none,none,none,"stlite sharing ist eine Webseite, auf der sehr einfach ausprobiert werden kann, Streamlit Apps zu erstellen. Die Webseite ist nicht notwendigerweise geeignet, wirklich Streamlit Apps zu entwickeln oder zu erstellen, aber eine sehr hilfreiche, erste Seite, um Streamlit ein wenig kennen zu lernen. Mehr wollen wir zunächst auch nicht tun.",https://vimeo.com/776919452,https://youtu.be/EcEafEzeBz0
